# latitude: -3.9942, longitude: -168.7583, year: 1994, month: 11, day: 2, cruise: 12537, uid: 8077685
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
0.0,0,,29.8214,0,,35.4715,0,,,,,,0.0
1.99,0,,29.8309,0,,35.4752,0,,,,,,2.0
3.98,0,,29.8356,0,,35.4756,0,,,,,,4.0
5.97,0,,29.8345,0,,35.4763,0,,,,,,6.0
7.96,0,,29.8356,0,,35.4764,0,,,,,,8.0
9.94,0,,29.8349,0,,35.4771,0,,,,,,10.0
11.93,0,,29.8335,0,,35.4778,0,,,,,,12.0
13.92,0,,29.7912,0,,35.4934,0,,,,,,14.0
15.91,0,,29.7776,0,,35.4937,0,,,,,,16.0
17.9,0,,29.7368,0,,35.4917,0,,,,,,18.0
19.89,0,,29.718,0,,35.4903,0,,,,,,20.0
21.88,0,,29.6915,0,,35.4885,0,,,,,,22.0
23.87,0,,29.668,0,,35.4886,0,,,,,,24.0
25.85,0,,29.6595,0,,35.49,0,,,,,,26.0
27.84,0,,29.6586,0,,35.4917,0,,,,,,28.0
29.83,0,,29.639,0,,35.4945,0,,,,,,30.0
31.82,0,,29.6298,0,,35.497,0,,,,,,32.0
33.81,0,,29.6259,0,,35.4977,0,,,,,,34.0
35.8,0,,29.6214,0,,35.4983,0,,,,,,36.0
37.79,0,,29.6159,0,,35.4993,0,,,,,,38.0
39.78,0,,29.6133,0,,35.501,0,,,,,,40.0
41.76,0,,29.5993,0,,35.5016,0,,,,,,42.0
43.75,0,,29.582,0,,35.5006,0,,,,,,44.0
45.74,0,,29.566,0,,35.4991,0,,,,,,46.0
47.73,0,,29.5554,0,,35.4973,0,,,,,,48.0
49.72,0,,29.5563,0,,35.4984,0,,,,,,50.0
51.71,0,,29.5468,0,,35.4986,0,,,,,,52.0
53.69,0,,29.5348,0,,35.4975,0,,,,,,54.0
55.68,0,,29.5213,0,,35.4959,0,,,,,,56.0
57.67,0,,29.5032,0,,35.4935,0,,,,,,58.0
59.66,0,,29.493,0,,35.4914,0,,,,,,60.0
61.65,0,,29.469,0,,35.4873,0,,,,,,62.0
63.64,0,,29.4479,0,,35.4828,0,,,,,,64.0
65.63,0,,29.4241,0,,35.4781,0,,,,,,66.0
67.61,0,,29.4074,0,,35.4753,0,,,,,,68.0
69.6,0,,29.3626,0,,35.4712,0,,,,,,70.0
71.59,0,,29.3223,0,,35.4633,0,,,,,,72.0
73.58,0,,29.2739,0,,35.4553,0,,,,,,74.0
75.57,0,,29.2691,0,,35.454,0,,,,,,76.0
77.55,0,,29.2661,0,,35.4541,0,,,,,,78.0
79.54,0,,29.2031,0,,35.4513,0,,,,,,80.0
81.53,0,,29.1721,0,,35.4499,0,,,,,,82.0
83.52,0,,29.1209,0,,35.4697,0,,,,,,84.0
85.51,0,,29.0658,0,,35.4658,0,,,,,,86.0
87.5,0,,29.0418,0,,35.4631,0,,,,,,88.0
89.48,0,,29.032,0,,35.4611,0,,,,,,90.0
91.47,0,,29.0071,0,,35.4605,0,,,,,,92.0
93.46,0,,28.9522,0,,35.4517,0,,,,,,94.0
95.45,0,,28.903,0,,35.4435,0,,,,,,96.0
97.44,0,,28.8418,0,,35.4349,0,,,,,,98.0
99.42,0,,28.7927,0,,35.4302,0,,,,,,100.0
101.41,0,,28.7683,0,,35.4312,0,,,,,,102.0
103.4,0,,28.7192,0,,35.4356,0,,,,,,104.0
105.39,0,,28.6184,0,,35.4515,0,,,,,,106.0
107.38,0,,28.4298,0,,35.4772,0,,,,,,108.0
109.36,0,,28.2732,0,,35.4886,0,,,,,,110.0
111.35,0,,28.2395,0,,35.4935,0,,,,,,112.0
113.34,0,,28.0915,0,,35.5278,0,,,,,,114.0
115.33,0,,27.2306,0,,35.6864,0,,,,,,116.0
117.32,0,,26.8044,0,,35.7582,0,,,,,,118.0
119.3,0,,26.5825,0,,35.77,0,,,,,,120.0
121.29,0,,26.4597,0,,35.7733,0,,,,,,122.0
123.28,0,,26.4404,0,,35.7705,0,,,,,,124.0
125.27,0,,26.3794,0,,35.7761,0,,,,,,126.0
127.25,0,,26.1713,0,,35.7933,0,,,,,,128.0
129.24,0,,26.0874,0,,35.8045,0,,,,,,130.0
131.23,0,,26.0113,0,,35.8195,0,,,,,,132.0
133.22,0,,25.941,0,,35.8287,0,,,,,,134.0
135.2,0,,25.9064,0,,35.8368,0,,,,,,136.0
137.19,0,,25.8705,0,,35.8475,0,,,,,,138.0
139.18,0,,25.7511,0,,35.8616,0,,,,,,140.0
141.17,0,,25.3929,0,,35.8748,0,,,,,,142.0
143.16,0,,25.3565,0,,35.8765,0,,,,,,144.0
145.14,0,,25.3525,0,,35.8766,0,,,,,,146.0
147.13,0,,25.3187,0,,35.8816,0,,,,,,148.0
149.12,0,,24.9385,0,,35.9138,0,,,,,,150.0
151.11,0,,24.4286,0,,35.9389,0,,,,,,152.0
153.09,0,,24.1127,0,,35.9421,0,,,,,,154.0
155.08,0,,23.9066,0,,35.9609,0,,,,,,156.0
157.07,0,,23.8323,0,,35.9687,0,,,,,,158.0
159.06,0,,23.7299,0,,35.982,0,,,,,,160.0
161.04,0,,23.5734,0,,35.9995,0,,,,,,162.0
163.03,0,,23.3114,0,,36.0064,0,,,,,,164.0
165.02,0,,22.7773,0,,36.0085,0,,,,,,166.0
167.0,0,,22.3855,0,,35.9736,0,,,,,,168.0
168.99,0,,21.6482,0,,35.938,0,,,,,,170.0
170.98,0,,21.1368,0,,35.8802,0,,,,,,172.0
172.97,0,,21.0049,0,,35.8609,0,,,,,,174.0
174.95,0,,20.7425,0,,35.8366,0,,,,,,176.0
176.94,0,,20.297,0,,35.8073,0,,,,,,178.0
178.93,0,,20.2164,0,,35.7829,0,,,,,,180.0
180.92,0,,20.047,0,,35.768,0,,,,,,182.0
182.9,0,,19.9394,0,,35.7468,0,,,,,,184.0
184.89,0,,19.8507,0,,35.7364,0,,,,,,186.0
186.88,0,,19.7501,0,,35.7269,0,,,,,,188.0
188.86,0,,19.5931,0,,35.7136,0,,,,,,190.0
190.85,0,,19.4278,0,,35.697,0,,,,,,192.0
192.84,0,,19.2855,0,,35.6902,0,,,,,,194.0
194.83,0,,18.902,0,,35.6712,0,,,,,,196.0
196.81,0,,18.4991,0,,35.6158,0,,,,,,198.0
