# latitude: -0.0013, longitude: -168.7498, year: 1996, month: 3, day: 6, cruise: 13615, uid: 7549059
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
0.99,0,,26.3779,0,,35.4098,0,,201.5,,,,1.0
1.99,0,,26.3782,0,,35.4098,0,,201.5,,,,2.0
2.98,0,,26.3784,0,,35.4098,0,,201.6,,,,3.0
3.98,0,,26.3899,0,,35.4098,0,,201.5,,,,4.0
4.97,0,,26.3905,0,,35.4098,0,,201.6,,,,5.0
5.97,0,,26.3877,0,,35.4098,0,,201.0,,,,6.0
6.96,0,,26.3874,0,,35.4098,0,,200.5,,,,7.0
7.96,0,,26.3891,0,,35.4098,0,,200.5,,,,8.0
8.95,0,,26.389,0,,35.4098,0,,200.6,,,,9.0
9.94,0,,26.3892,0,,35.4098,0,,200.4,,,,10.0
10.94,0,,26.3875,0,,35.4099,0,,200.5,,,,11.0
11.93,0,,26.3892,0,,35.4101,0,,200.8,,,,12.0
12.93,0,,26.3913,0,,35.4098,0,,200.7,,,,13.0
13.92,0,,26.3907,0,,35.4099,0,,200.5,,,,14.0
14.92,0,,26.3919,0,,35.4098,0,,200.3,,,,15.0
15.91,0,,26.3906,0,,35.4099,0,,200.6,,,,16.0
16.91,0,,26.3929,0,,35.4099,0,,200.6,,,,17.0
17.9,0,,26.3832,0,,35.4099,0,,200.8,,,,18.0
18.89,0,,26.3868,0,,35.41,0,,200.9,,,,19.0
19.89,0,,26.3851,0,,35.4094,0,,201.0,,,,20.0
20.88,0,,26.3821,0,,35.4099,0,,200.7,,,,21.0
21.88,0,,26.3817,0,,35.41,0,,200.6,,,,22.0
22.87,0,,26.3755,0,,35.4097,0,,200.6,,,,23.0
23.87,0,,26.3558,0,,35.4092,0,,200.7,,,,24.0
24.86,0,,26.3562,0,,35.4094,0,,200.7,,,,25.0
25.86,0,,26.3562,0,,35.4093,0,,200.5,,,,26.0
26.85,0,,26.3553,0,,35.4094,0,,200.4,,,,27.0
27.84,0,,26.3553,0,,35.4093,0,,200.3,,,,28.0
28.84,0,,26.3547,0,,35.4093,0,,200.3,,,,29.0
29.83,0,,26.3565,0,,35.4093,0,,200.3,,,,30.0
30.83,0,,26.3476,0,,35.4084,0,,200.3,,,,31.0
31.82,0,,26.3334,0,,35.4075,0,,200.7,,,,32.0
32.82,0,,26.3297,0,,35.407,0,,200.7,,,,33.0
33.81,0,,26.3259,0,,35.4066,0,,200.6,,,,34.0
34.8,0,,26.3222,0,,35.4062,0,,200.6,,,,35.0
35.8,0,,26.3195,0,,35.407,0,,200.3,,,,36.0
36.79,0,,26.2714,0,,35.4015,0,,200.0,,,,37.0
37.79,0,,26.2751,0,,35.4021,0,,199.9,,,,38.0
38.78,0,,26.2739,0,,35.4017,0,,200.0,,,,39.0
39.78,0,,26.2609,0,,35.4003,0,,200.1,,,,40.0
40.77,0,,26.2589,0,,35.4003,0,,199.9,,,,41.0
41.77,0,,26.2521,0,,35.3994,0,,199.5,,,,42.0
42.76,0,,26.2494,0,,35.399,0,,199.5,,,,43.0
43.75,0,,26.2468,0,,35.3986,0,,199.5,,,,44.0
44.75,0,,26.2441,0,,35.3983,0,,199.4,,,,45.0
45.74,0,,26.2458,0,,35.3987,0,,199.1,,,,46.0
46.74,0,,26.2032,0,,35.3922,0,,199.3,,,,47.0
47.73,0,,26.1855,0,,35.3898,0,,199.5,,,,48.0
48.73,0,,26.1797,0,,35.3887,0,,199.3,,,,49.0
49.72,0,,26.1635,0,,35.3852,0,,198.4,,,,50.0
50.71,0,,26.1525,0,,35.3834,0,,198.3,,,,51.0
51.71,0,,26.1473,0,,35.3822,0,,198.0,,,,52.0
52.7,0,,26.137,0,,35.3803,0,,197.8,,,,53.0
53.7,0,,26.1313,0,,35.3793,0,,197.9,,,,54.0
54.69,0,,26.1262,0,,35.3783,0,,197.8,,,,55.0
55.68,0,,26.1142,0,,35.3761,0,,197.7,,,,56.0
56.68,0,,26.1048,0,,35.3747,0,,197.3,,,,57.0
57.67,0,,26.0748,0,,35.3697,0,,197.3,,,,58.0
58.67,0,,26.0436,0,,35.3644,0,,197.4,,,,59.0
59.66,0,,26.0313,0,,35.3623,0,,197.4,,,,60.0
60.66,0,,26.0205,0,,35.3603,0,,196.9,,,,61.0
61.65,0,,26.0151,0,,35.3595,0,,196.1,,,,62.0
62.64,0,,25.9855,0,,35.3549,0,,195.9,,,,63.0
63.64,0,,25.9628,0,,35.3511,0,,195.8,,,,64.0
64.63,0,,25.9585,0,,35.3505,0,,195.8,,,,65.0
65.63,0,,25.9521,0,,35.3494,0,,195.4,,,,66.0
66.62,0,,25.9354,0,,35.3469,0,,195.2,,,,67.0
67.62,0,,25.8934,0,,35.3409,0,,195.0,,,,68.0
