# latitude: 0.0, longitude: -167.302, year: 2023, month: 5, day: 15, cruise: 13239, uid: 22288039
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
898.0,0,,4.9,0,,34.55,0,,,,,,
908.0,0,,4.85,0,,34.55,0,,,,,,
918.0,0,,4.79,0,,34.55,0,,,,,,
928.0,0,,4.75,0,,34.55,0,,,,,,
938.0,0,,4.66,0,,34.55,0,,,,,,
948.0,0,,4.62,0,,34.55,0,,,,,,
957.0,0,,4.57,0,,34.55,0,,,,,,
967.0,0,,4.52,0,,34.56,0,,,,,,
977.0,0,,4.51,0,,34.56,0,,,,,,
987.0,0,,4.48,0,,34.56,0,,,,,,
997.0,0,,4.42,0,,34.56,0,,,,,,
1007.0,0,,4.39,0,,34.56,0,,,,,,
1017.0,0,,4.36,0,,34.56,0,,,,,,
1027.0,0,,4.35,0,,34.56,0,,,,,,
1037.0,0,,4.27,0,,34.56,0,,,,,,
1047.0,0,,4.22,0,,34.56,0,,,,,,
1056.0,0,,4.22,0,,34.56,0,,,,,,
1066.0,0,,4.22,0,,34.56,0,,,,,,
1076.0,0,,4.22,0,,34.56,0,,,,,,
1086.0,0,,4.16,0,,34.57,0,,,,,,
1096.0,0,,4.13,0,,34.57,0,,,,,,
1106.0,0,,4.09,0,,34.57,0,,,,,,
1116.0,0,,4.06,0,,34.57,0,,,,,,
1126.0,0,,4.06,0,,34.57,0,,,,,,
1136.0,0,,3.99,0,,34.57,0,,,,,,
1145.0,0,,3.96,0,,34.57,0,,,,,,
1155.0,0,,3.89,0,,34.57,0,,,,,,
1165.0,0,,3.86,0,,34.57,0,,,,,,
1175.0,0,,3.85,0,,34.57,0,,,,,,
1185.0,0,,3.83,0,,34.57,0,,,,,,
1195.0,0,,3.81,0,,34.58,0,,,,,,
1205.0,0,,3.78,0,,34.58,0,,,,,,
1215.0,0,,3.78,0,,34.58,0,,,,,,
1225.0,0,,3.76,0,,34.58,0,,,,,,
1234.0,0,,3.76,0,,34.58,0,,,,,,
1244.0,0,,3.76,0,,34.58,0,,,,,,
1254.0,0,,3.75,0,,34.58,0,,,,,,
1264.0,0,,3.75,0,,34.58,0,,,,,,
1274.0,0,,3.73,0,,34.58,0,,,,,,
1284.0,0,,3.69,0,,34.58,0,,,,,,
1294.0,0,,3.68,0,,34.58,0,,,,,,
1304.0,0,,3.68,0,,34.58,0,,,,,,
1314.0,0,,3.68,0,,34.58,0,,,,,,
1323.0,0,,3.67,0,,34.58,0,,,,,,
1333.0,0,,3.66,0,,34.58,0,,,,,,
1343.0,0,,3.55,0,,34.59,0,,,,,,
1353.0,0,,3.52,0,,34.59,0,,,,,,
1363.0,0,,3.49,0,,34.59,0,,,,,,
1373.0,0,,3.48,0,,34.59,0,,,,,,
1383.0,0,,3.48,0,,34.59,0,,,,,,
1393.0,0,,3.47,0,,34.59,0,,,,,,
1402.0,0,,3.46,0,,34.59,0,,,,,,
1412.0,0,,3.34,0,,34.59,0,,,,,,
1422.0,0,,3.25,0,,34.6,0,,,,,,
1432.0,0,,3.22,0,,34.6,0,,,,,,
1442.0,0,,3.21,0,,34.6,0,,,,,,
1452.0,0,,3.15,0,,34.6,0,,,,,,
1462.0,0,,3.12,0,,34.6,0,,,,,,
1472.0,0,,3.08,0,,34.6,0,,,,,,
1481.0,0,,3.06,0,,34.6,0,,,,,,
1491.0,0,,3.04,0,,34.6,0,,,,,,
1501.0,0,,3.04,0,,34.6,0,,,,,,
1511.0,0,,3.02,0,,34.61,0,,,,,,
1521.0,0,,2.99,0,,34.61,0,,,,,,
1531.0,0,,2.95,0,,34.61,0,,,,,,
1541.0,0,,2.94,0,,34.61,0,,,,,,
1551.0,0,,2.93,0,,34.61,0,,,,,,
1560.0,0,,2.91,0,,34.61,0,,,,,,
1570.0,0,,2.86,0,,34.61,0,,,,,,
1580.0,0,,2.83,0,,34.61,0,,,,,,
1590.0,0,,2.81,0,,34.62,0,,,,,,
1600.0,0,,2.81,0,,34.62,0,,,,,,
1610.0,0,,2.81,0,,34.62,0,,,,,,
1620.0,0,,2.8,0,,34.62,0,,,,,,
1630.0,0,,2.76,0,,34.62,0,,,,,,
1639.0,0,,2.73,0,,34.62,0,,,,,,
1649.0,0,,2.7,0,,34.62,0,,,,,,
1659.0,0,,2.69,0,,34.62,0,,,,,,
1669.0,0,,2.67,0,,34.62,0,,,,,,
1679.0,0,,2.66,0,,34.62,0,,,,,,
1689.0,0,,2.65,0,,34.62,0,,,,,,
1699.0,0,,2.65,0,,34.62,0,,,,,,
1708.0,0,,2.64,0,,34.62,0,,,,,,
1718.0,0,,2.63,0,,34.62,0,,,,,,
1728.0,0,,2.61,0,,34.62,0,,,,,,
1738.0,0,,2.6,0,,34.63,0,,,,,,
1748.0,0,,2.59,0,,34.63,0,,,,,,
1758.0,0,,2.58,0,,34.63,0,,,,,,
1768.0,0,,2.57,0,,34.63,0,,,,,,
1777.0,0,,2.55,0,,34.63,0,,,,,,
1787.0,0,,2.54,0,,34.63,0,,,,,,
1797.0,0,,2.52,0,,34.63,0,,,,,,
1807.0,0,,2.51,0,,34.63,0,,,,,,
1817.0,0,,2.51,0,,34.63,0,,,,,,
1827.0,0,,2.49,0,,34.63,0,,,,,,
1837.0,0,,2.47,0,,34.63,0,,,,,,
1847.0,0,,2.45,0,,34.63,0,,,,,,
1856.0,0,,2.45,0,,34.63,0,,,,,,
1866.0,0,,2.42,0,,34.63,0,,,,,,
1876.0,0,,2.4,0,,34.63,0,,,,,,
1886.0,0,,2.36,0,,34.64,0,,,,,,
1896.0,0,,2.32,0,,34.64,0,,,,,,
1906.0,0,,2.32,0,,34.64,0,,,,,,
1916.0,0,,2.32,0,,34.64,0,,,,,,
1925.0,0,,2.31,0,,34.64,0,,,,,,
1935.0,0,,2.28,0,,34.64,0,,,,,,
1945.0,0,,2.26,0,,34.64,0,,,,,,
1955.0,0,,2.25,0,,34.64,0,,,,,,
1965.0,0,,2.24,0,,34.64,0,,,,,,
1975.0,0,,2.22,0,,34.64,0,,,,,,
1984.0,0,,2.22,0,,34.64,0,,,,,,
1994.0,0,,2.2,0,,34.65,0,,,,,,
2004.0,0,,2.19,0,,34.65,0,,,,,,
2014.0,0,,2.18,0,,34.65,0,,,,,,
2024.0,0,,2.17,0,,34.65,0,,,,,,
2034.0,0,,2.16,0,,34.65,0,,,,,,
2044.0,0,,2.16,0,,34.65,0,,,,,,
2053.0,0,,2.16,0,,34.65,0,,,,,,
2063.0,0,,2.15,0,,34.65,0,,,,,,
2073.0,0,,2.14,0,,34.65,0,,,,,,
2083.0,0,,2.14,0,,34.65,0,,,,,,
2093.0,0,,2.14,0,,34.65,0,,,,,,
2103.0,0,,2.14,0,,34.65,0,,,,,,
2112.0,0,,2.14,0,,34.65,0,,,,,,
2122.0,0,,2.14,0,,34.65,0,,,,,,
2132.0,0,,2.13,0,,34.65,0,,,,,,
2142.0,0,,2.12,0,,34.65,0,,,,,,
2152.0,0,,2.11,0,,34.65,0,,,,,,
2162.0,0,,2.1,0,,34.65,0,,,,,,
2172.0,0,,2.1,0,,34.65,0,,,,,,
2181.0,0,,2.08,0,,34.65,0,,,,,,
2191.0,0,,2.07,0,,34.65,0,,,,,,
2201.0,0,,2.06,0,,34.65,0,,,,,,
2211.0,0,,2.06,0,,34.65,0,,,,,,
2221.0,0,,2.06,0,,34.65,0,,,,,,
2231.0,0,,2.05,0,,34.65,0,,,,,,
2240.0,0,,2.04,0,,34.65,0,,,,,,
2250.0,0,,2.03,0,,34.65,0,,,,,,
2260.0,0,,2.03,0,,34.65,0,,,,,,
2270.0,0,,2.01,0,,34.66,0,,,,,,
2280.0,0,,2.0,0,,34.66,0,,,,,,
2290.0,0,,1.99,0,,34.66,0,,,,,,
2299.0,0,,1.99,0,,34.66,0,,,,,,
2309.0,0,,1.98,0,,34.66,0,,,,,,
2319.0,0,,1.97,0,,34.66,0,,,,,,
2329.0,0,,1.96,0,,34.66,0,,,,,,
2339.0,0,,1.96,0,,34.66,0,,,,,,
2349.0,0,,1.95,0,,34.66,0,,,,,,
2358.0,0,,1.94,0,,34.66,0,,,,,,
2368.0,0,,1.94,0,,34.66,0,,,,,,
2378.0,0,,1.93,0,,34.66,0,,,,,,
2388.0,0,,1.93,0,,34.66,0,,,,,,
2398.0,0,,1.92,0,,34.66,0,,,,,,
2408.0,0,,1.9,0,,34.66,0,,,,,,
2417.0,0,,1.9,0,,34.66,0,,,,,,
2427.0,0,,1.9,0,,34.66,0,,,,,,
2437.0,0,,1.9,0,,34.66,0,,,,,,
2447.0,0,,1.9,0,,34.66,0,,,,,,
2457.0,0,,1.9,0,,34.66,0,,,,,,
2467.0,0,,1.89,0,,34.66,0,,,,,,
2476.0,0,,1.89,0,,34.66,0,,,,,,
2486.0,0,,1.88,0,,34.66,0,,,,,,
2496.0,0,,1.87,0,,34.66,0,,,,,,
2506.0,0,,1.87,0,,34.66,0,,,,,,
2516.0,0,,1.87,0,,34.66,0,,,,,,
2526.0,0,,1.86,0,,34.66,0,,,,,,
2535.0,0,,1.86,0,,34.66,0,,,,,,
2545.0,0,,1.86,0,,34.67,0,,,,,,
2555.0,0,,1.86,0,,34.67,0,,,,,,
2565.0,0,,1.86,0,,34.67,0,,,,,,
2575.0,0,,1.85,0,,34.67,0,,,,,,
2585.0,0,,1.84,0,,34.67,0,,,,,,
2594.0,0,,1.82,0,,34.67,0,,,,,,
2604.0,0,,1.82,0,,34.67,0,,,,,,
2614.0,0,,1.81,0,,34.67,0,,,,,,
2624.0,0,,1.81,0,,34.67,0,,,,,,
2634.0,0,,1.81,0,,34.67,0,,,,,,
2643.0,0,,1.81,0,,34.67,0,,,,,,
2653.0,0,,1.8,0,,34.67,0,,,,,,
2663.0,0,,1.79,0,,34.67,0,,,,,,
2673.0,0,,1.78,0,,34.67,0,,,,,,
2683.0,0,,1.77,0,,34.67,0,,,,,,
2693.0,0,,1.76,0,,34.67,0,,,,,,
2702.0,0,,1.75,0,,34.67,0,,,,,,
2712.0,0,,1.75,0,,34.67,0,,,,,,
2722.0,0,,1.74,0,,34.67,0,,,,,,
2732.0,0,,1.74,0,,34.67,0,,,,,,
2742.0,0,,1.74,0,,34.67,0,,,,,,
