# latitude: -5.0007, longitude: -168.7492, year: 1996, month: 3, day: 4, cruise: 13615, uid: 7549049
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
0.99,0,,27.8712,0,,35.723,0,,203.5,,,,1.0
1.99,0,,27.8715,0,,35.723,0,,203.5,,,,2.0
2.98,0,,27.8876,0,,35.723,0,,203.5,,,,3.0
3.98,0,,27.8775,0,,35.723,0,,203.5,,,,4.0
4.97,0,,27.8878,0,,35.723,0,,202.7,,,,5.0
5.97,0,,27.8888,0,,35.7198,0,,201.6,,,,6.0
6.96,0,,27.8898,0,,35.7166,0,,200.6,,,,7.0
7.96,0,,27.8908,0,,35.7134,0,,199.6,,,,8.0
8.95,0,,27.889,0,,35.7139,0,,199.1,,,,9.0
9.94,0,,27.8864,0,,35.7131,0,,199.0,,,,10.0
10.94,0,,27.8529,0,,35.7106,0,,199.1,,,,11.0
11.93,0,,27.8503,0,,35.7102,0,,199.3,,,,12.0
12.93,0,,27.8399,0,,35.7094,0,,199.8,,,,13.0
13.92,0,,27.7885,0,,35.7036,0,,200.0,,,,14.0
14.92,0,,27.7578,0,,35.7011,0,,199.8,,,,15.0
15.91,0,,27.7541,0,,35.7008,0,,199.7,,,,16.0
16.91,0,,27.7501,0,,35.7003,0,,199.8,,,,17.0
17.9,0,,27.743,0,,35.6988,0,,200.1,,,,18.0
18.89,0,,27.7372,0,,35.6979,0,,199.8,,,,19.0
19.89,0,,27.7229,0,,35.6951,0,,199.5,,,,20.0
20.88,0,,27.7087,0,,35.6914,0,,199.6,,,,21.0
21.88,0,,27.7023,0,,35.6901,0,,199.6,,,,22.0
22.87,0,,27.6844,0,,35.6849,0,,200.2,,,,23.0
23.87,0,,27.6718,0,,35.6816,0,,200.1,,,,24.0
24.86,0,,27.6694,0,,35.6816,0,,200.1,,,,25.0
25.85,0,,27.6656,0,,35.6808,0,,200.0,,,,26.0
26.85,0,,27.6628,0,,35.6805,0,,199.7,,,,27.0
27.84,0,,27.658,0,,35.6798,0,,200.1,,,,28.0
28.84,0,,27.6507,0,,35.678,0,,200.1,,,,29.0
29.83,0,,27.6473,0,,35.6781,0,,200.1,,,,30.0
30.83,0,,27.6425,0,,35.6781,0,,200.2,,,,31.0
31.82,0,,27.6396,0,,35.6779,0,,199.9,,,,32.0
32.81,0,,27.6344,0,,35.6776,0,,199.8,,,,33.0
33.81,0,,27.6329,0,,35.6777,0,,200.0,,,,34.0
34.8,0,,27.6292,0,,35.677,0,,200.1,,,,35.0
35.8,0,,27.626,0,,35.6768,0,,200.0,,,,36.0
36.79,0,,27.6215,0,,35.6763,0,,199.8,,,,37.0
37.79,0,,27.6186,0,,35.6762,0,,199.8,,,,38.0
38.78,0,,27.6146,0,,35.6756,0,,199.9,,,,39.0
39.77,0,,27.6112,0,,35.6749,0,,199.8,,,,40.0
40.77,0,,27.6077,0,,35.6741,0,,200.0,,,,41.0
41.76,0,,27.6014,0,,35.673,0,,200.0,,,,42.0
42.76,0,,27.596,0,,35.6718,0,,200.0,,,,43.0
43.75,0,,27.5912,0,,35.6712,0,,199.8,,,,44.0
44.75,0,,27.5881,0,,35.6704,0,,199.8,,,,45.0
45.74,0,,27.5839,0,,35.6696,0,,199.9,,,,46.0
46.73,0,,27.5813,0,,35.6693,0,,200.0,,,,47.0
47.73,0,,27.5795,0,,35.6695,0,,200.2,,,,48.0
48.72,0,,27.5802,0,,35.6707,0,,199.9,,,,49.0
49.72,0,,27.5769,0,,35.67,0,,199.5,,,,50.0
50.71,0,,27.5731,0,,35.6689,0,,199.8,,,,51.0
51.71,0,,27.5706,0,,35.6683,0,,199.7,,,,52.0
52.7,0,,27.5704,0,,35.6687,0,,199.6,,,,53.0
53.69,0,,27.5707,0,,35.6696,0,,199.5,,,,54.0
54.69,0,,27.5668,0,,35.6686,0,,199.6,,,,55.0
55.68,0,,27.5657,0,,35.6693,0,,199.6,,,,56.0
56.68,0,,27.5618,0,,35.6683,0,,199.3,,,,57.0
57.67,0,,27.5588,0,,35.6674,0,,199.3,,,,58.0
58.67,0,,27.5547,0,,35.6664,0,,199.3,,,,59.0
59.66,0,,27.552,0,,35.6659,0,,199.5,,,,60.0
60.65,0,,27.5525,0,,35.6669,0,,199.7,,,,61.0
61.65,0,,27.5518,0,,35.6671,0,,199.4,,,,62.0
62.64,0,,27.5513,0,,35.6675,0,,199.0,,,,63.0
63.64,0,,27.5515,0,,35.668,0,,198.9,,,,64.0
64.63,0,,27.5522,0,,35.669,0,,198.7,,,,65.0
65.62,0,,27.5517,0,,35.6693,0,,198.7,,,,66.0
66.62,0,,27.5511,0,,35.6693,0,,198.7,,,,67.0
67.61,0,,27.5506,0,,35.6693,0,,198.7,,,,68.0
68.61,0,,27.5495,0,,35.6693,0,,199.1,,,,69.0
69.6,0,,27.5471,0,,35.6691,0,,199.2,,,,70.0
70.59,0,,27.5449,0,,35.6689,0,,199.1,,,,71.0
71.59,0,,27.5441,0,,35.6692,0,,198.8,,,,72.0
72.58,0,,27.543,0,,35.6692,0,,198.9,,,,73.0
73.58,0,,27.5419,0,,35.6689,0,,198.9,,,,74.0
74.57,0,,27.5411,0,,35.669,0,,198.9,,,,75.0
75.57,0,,27.538,0,,35.6685,0,,199.0,,,,76.0
76.56,0,,27.5362,0,,35.6682,0,,198.8,,,,77.0
77.55,0,,27.5349,0,,35.6677,0,,199.1,,,,78.0
78.55,0,,27.5308,0,,35.6666,0,,199.2,,,,79.0
79.54,0,,27.5261,0,,35.6653,0,,199.1,,,,80.0
80.54,0,,27.5229,0,,35.6645,0,,198.9,,,,81.0
81.53,0,,27.5149,0,,35.6618,0,,199.0,,,,82.0
82.52,0,,27.507,0,,35.6592,0,,199.2,,,,83.0
83.52,0,,27.499,0,,35.6565,0,,199.3,,,,84.0
84.51,0,,27.4963,0,,35.6556,0,,199.4,,,,85.0
85.51,0,,27.4897,0,,35.6531,0,,199.4,,,,86.0
86.5,0,,27.4797,0,,35.6498,0,,199.2,,,,87.0
87.49,0,,27.4723,0,,35.6477,0,,199.2,,,,88.0
88.49,0,,27.4683,0,,35.6465,0,,198.9,,,,89.0
89.48,0,,27.4648,0,,35.6453,0,,199.3,,,,90.0
90.48,0,,27.4596,0,,35.6438,0,,199.0,,,,91.0
91.47,0,,27.4592,0,,35.6442,0,,199.2,,,,92.0
92.46,0,,27.4609,0,,35.6453,0,,199.1,,,,93.0
93.46,0,,27.4614,0,,35.6459,0,,199.0,,,,94.0
94.45,0,,27.4606,0,,35.6459,0,,199.2,,,,95.0
95.45,0,,27.4574,0,,35.645,0,,199.3,,,,96.0
96.44,0,,27.4561,0,,35.6453,0,,199.2,,,,97.0
97.43,0,,27.4577,0,,35.6462,0,,199.3,,,,98.0
98.43,0,,27.4578,0,,35.6464,0,,199.0,,,,99.0
99.42,0,,27.4576,0,,35.6466,0,,198.8,,,,100.0
100.42,0,,27.4575,0,,35.6466,0,,199.0,,,,101.0
101.41,0,,27.4533,0,,35.645,0,,199.2,,,,102.0
102.4,0,,27.4458,0,,35.6417,0,,199.2,,,,103.0
103.4,0,,27.4364,0,,35.6387,0,,199.2,,,,104.0
104.39,0,,27.4261,0,,35.6351,0,,199.0,,,,105.0
105.39,0,,27.4203,0,,35.6332,0,,198.9,,,,106.0
106.38,0,,27.4154,0,,35.6314,0,,199.3,,,,107.0
107.37,0,,27.4108,0,,35.6298,0,,199.3,,,,108.0
108.37,0,,27.4071,0,,35.6286,0,,199.3,,,,109.0
109.36,0,,27.4057,0,,35.6282,0,,199.2,,,,110.0
110.36,0,,27.4034,0,,35.6272,0,,199.1,,,,111.0
111.35,0,,27.3979,0,,35.6256,0,,199.1,,,,112.0
112.34,0,,27.3948,0,,35.6247,0,,199.0,,,,113.0
113.34,0,,27.3912,0,,35.6232,0,,199.2,,,,114.0
114.33,0,,27.3879,0,,35.6222,0,,199.3,,,,115.0
115.33,0,,27.3847,0,,35.6212,0,,199.1,,,,116.0
116.32,0,,27.381,0,,35.62,0,,199.3,,,,117.0
117.31,0,,27.3773,0,,35.6185,0,,199.3,,,,118.0
118.31,0,,27.3734,0,,35.6176,0,,199.1,,,,119.0
119.3,0,,27.3722,0,,35.6176,0,,199.3,,,,120.0
120.3,0,,27.3689,0,,35.6169,0,,199.3,,,,121.0
121.29,0,,27.3632,0,,35.6152,0,,199.3,,,,122.0
122.28,0,,27.3555,0,,35.6122,0,,199.3,,,,123.0
