# latitude: -0.98326, longitude: -168.752, year: 2009, month: 3, day: 14, cruise: 3871, uid: 11958789
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
1.99,0,,26.7656,0,,35.246,0,,205.8,,,,2.0
3.98,0,,26.7655,0,,35.2458,0,,205.3,,,,4.0
5.97,0,,26.7651,0,,35.2459,0,,205.5,,,,6.0
7.96,0,,26.7733,0,,35.2458,0,,205.9,,,,8.0
9.94,0,,26.7723,0,,35.2458,0,,205.7,,,,10.0
11.93,0,,26.7598,0,,35.2454,0,,205.8,,,,12.0
13.92,0,,26.6378,0,,35.2419,0,,206.4,,,,14.0
15.91,0,,26.5476,0,,35.2406,0,,206.4,,,,16.0
17.9,0,,26.5414,0,,35.2396,0,,206.4,,,,18.0
19.89,0,,26.5306,0,,35.2383,0,,206.5,,,,20.0
21.88,0,,26.5155,0,,35.2374,0,,206.0,,,,22.0
23.87,0,,26.5041,0,,35.2368,0,,206.0,,,,24.0
25.86,0,,26.4995,0,,35.2363,0,,206.0,,,,26.0
27.84,0,,26.4892,0,,35.2357,0,,206.1,,,,28.0
29.83,0,,26.4663,0,,35.2351,0,,206.3,,,,30.0
31.82,0,,26.4465,0,,35.2346,0,,206.1,,,,32.0
33.81,0,,26.4195,0,,35.2331,0,,205.6,,,,34.0
35.8,0,,26.3976,0,,35.2313,0,,205.4,,,,36.0
37.79,0,,26.3686,0,,35.2296,0,,205.3,,,,38.0
39.78,0,,26.3491,0,,35.2285,0,,205.2,,,,40.0
41.76,0,,26.3241,0,,35.2282,0,,204.7,,,,42.0
43.75,0,,26.2986,0,,35.2303,0,,204.5,,,,44.0
45.74,0,,26.268,0,,35.2326,0,,203.3,,,,46.0
47.73,0,,26.2325,0,,35.2347,0,,202.8,,,,48.0
49.72,0,,26.2006,0,,35.2378,0,,202.3,,,,50.0
51.71,0,,26.1878,0,,35.2428,0,,201.6,,,,52.0
53.7,0,,26.1715,0,,35.2483,0,,201.0,,,,54.0
55.68,0,,26.1567,0,,35.2539,0,,200.9,,,,56.0
57.67,0,,26.1539,0,,35.2539,0,,200.6,,,,58.0
59.66,0,,26.1449,0,,35.2525,0,,200.4,,,,60.0
61.65,0,,26.1345,0,,35.2504,0,,199.6,,,,62.0
63.64,0,,26.1195,0,,35.2488,0,,199.7,,,,64.0
65.63,0,,26.0926,0,,35.2443,0,,199.6,,,,66.0
67.62,0,,26.0628,0,,35.2381,0,,197.7,,,,68.0
69.6,0,,26.0601,0,,35.2373,0,,197.4,,,,70.0
71.59,0,,26.0549,0,,35.2353,0,,197.4,,,,72.0
73.58,0,,26.0512,0,,35.2361,0,,197.4,,,,74.0
75.57,0,,26.0621,0,,35.2493,0,,196.8,,,,76.0
77.56,0,,26.042,0,,35.246,0,,196.5,,,,78.0
79.54,0,,26.0303,0,,35.2446,0,,195.8,,,,80.0
81.53,0,,26.0229,0,,35.249,0,,195.5,,,,82.0
83.52,0,,26.0206,0,,35.2545,0,,195.3,,,,84.0
85.51,0,,26.019,0,,35.2597,0,,194.8,,,,86.0
87.5,0,,26.0121,0,,35.2638,0,,194.5,,,,88.0
89.49,0,,25.9814,0,,35.2724,0,,193.5,,,,90.0
91.47,0,,25.9755,0,,35.2745,0,,192.3,,,,92.0
93.46,0,,25.9563,0,,35.288,0,,191.5,,,,94.0
95.45,0,,25.9413,0,,35.3059,0,,190.7,,,,96.0
97.44,0,,25.9373,0,,35.3141,0,,188.7,,,,98.0
99.43,0,,25.9377,0,,35.3141,0,,188.2,,,,100.0
101.41,0,,25.9365,0,,35.3199,0,,188.3,,,,102.0
103.4,0,,25.9356,0,,35.3257,0,,187.9,,,,104.0
105.39,0,,25.9314,0,,35.3516,0,,187.7,,,,106.0
107.38,0,,25.9213,0,,35.3703,0,,186.8,,,,108.0
109.37,0,,25.9102,0,,35.376,0,,186.4,,,,110.0
111.35,0,,25.896,0,,35.3793,0,,185.7,,,,112.0
113.34,0,,25.8712,0,,35.3811,0,,185.4,,,,114.0
115.33,0,,25.8511,0,,35.3815,0,,184.9,,,,116.0
117.32,0,,25.8305,0,,35.3811,0,,184.9,,,,118.0
119.31,0,,25.8065,0,,35.3881,0,,184.9,,,,120.0
121.29,0,,25.7643,0,,35.4123,0,,184.1,,,,122.0
123.28,0,,25.7324,0,,35.4322,0,,183.3,,,,124.0
125.27,0,,25.7105,0,,35.4387,0,,181.6,,,,126.0
127.26,0,,25.6497,0,,35.4528,0,,181.2,,,,128.0
129.24,0,,25.5952,0,,35.4766,0,,180.4,,,,130.0
131.23,0,,25.5378,0,,35.4898,0,,178.9,,,,132.0
133.22,0,,25.4466,0,,35.5084,0,,176.6,,,,134.0
135.21,0,,25.3723,0,,35.5185,0,,174.7,,,,136.0
137.2,0,,25.2285,0,,35.535,0,,173.7,,,,138.0
139.18,0,,24.8889,0,,35.5871,0,,172.4,,,,140.0
141.17,0,,23.5346,0,,35.6036,0,,169.7,,,,142.0
143.16,0,,22.9492,0,,35.6264,0,,155.9,,,,144.0
145.15,0,,22.4077,0,,35.6507,0,,150.9,,,,146.0
147.13,0,,21.9732,0,,35.6704,0,,146.0,,,,148.0
149.12,0,,21.6499,0,,35.7156,0,,140.7,,,,150.0
151.11,0,,21.3531,0,,35.721,0,,136.9,,,,152.0
153.1,0,,21.2509,0,,35.7156,0,,133.7,,,,154.0
155.08,0,,21.0413,0,,35.7024,0,,132.0,,,,156.0
157.07,0,,20.8447,0,,35.6898,0,,130.4,,,,158.0
159.06,0,,20.5632,0,,35.6714,0,,129.5,,,,160.0
161.05,0,,20.1338,0,,35.6525,0,,128.9,,,,162.0
163.03,0,,20.0,0,,35.6469,0,,126.3,,,,164.0
165.02,0,,19.4418,0,,35.5783,0,,126.6,,,,166.0
167.01,0,,18.5549,0,,35.468,0,,127.1,,,,168.0
169.0,0,,18.0386,0,,35.4208,0,,127.5,,,,170.0
170.98,0,,17.8293,0,,35.3937,0,,129.5,,,,172.0
172.97,0,,17.6931,0,,35.3668,0,,131.5,,,,174.0
174.96,0,,17.3749,0,,35.3253,0,,132.8,,,,176.0
176.95,0,,17.0605,0,,35.286,0,,133.4,,,,178.0
178.93,0,,16.8896,0,,35.2584,0,,134.3,,,,180.0
180.92,0,,16.7654,0,,35.2327,0,,135.2,,,,182.0
182.91,0,,16.6012,0,,35.2026,0,,135.8,,,,184.0
184.89,0,,16.5279,0,,35.1923,0,,136.3,,,,186.0
186.88,0,,16.4318,0,,35.1843,0,,136.6,,,,188.0
188.87,0,,16.2551,0,,35.1665,0,,136.9,,,,190.0
190.86,0,,16.091,0,,35.1477,0,,137.0,,,,192.0
192.84,0,,16.0003,0,,35.1589,0,,136.9,,,,194.0
194.83,0,,16.0569,0,,35.1925,0,,136.8,,,,196.0
196.82,0,,15.8948,0,,35.2152,0,,137.3,,,,198.0
198.8,0,,15.4548,0,,35.1967,0,,137.6,,,,200.0
200.79,0,,14.8748,0,,35.1513,0,,135.3,,,,202.0
202.78,0,,14.4069,0,,35.1042,0,,130.8,,,,204.0
204.77,0,,14.1202,0,,35.0585,0,,131.0,,,,206.0
206.75,0,,13.9054,0,,35.0136,0,,131.7,,,,208.0
