# latitude: -5.5045, longitude: -168.7598, year: 1994, month: 11, day: 3, cruise: 12537, uid: 8077698
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
1.99,0,,29.8692,0,,35.452,0,,,,,,2.0
3.98,0,,29.875,0,,35.4521,0,,,,,,4.0
5.97,0,,29.877,0,,35.4525,0,,,,,,6.0
7.96,0,,29.8592,0,,35.4526,0,,,,,,8.0
9.94,0,,29.8048,0,,35.4515,0,,,,,,10.0
11.93,0,,29.7723,0,,35.4498,0,,,,,,12.0
13.92,0,,29.76,0,,35.4488,0,,,,,,14.0
15.91,0,,29.7432,0,,35.4531,0,,,,,,16.0
17.9,0,,29.7326,0,,35.4538,0,,,,,,18.0
19.89,0,,29.7231,0,,35.4535,0,,,,,,20.0
21.88,0,,29.7107,0,,35.4524,0,,,,,,22.0
23.87,0,,29.7,0,,35.453,0,,,,,,24.0
25.85,0,,29.6936,0,,35.4538,0,,,,,,26.0
27.84,0,,29.6745,0,,35.452,0,,,,,,28.0
29.83,0,,29.6674,0,,35.4503,0,,,,,,30.0
31.82,0,,29.6608,0,,35.4491,0,,,,,,32.0
33.81,0,,29.6555,0,,35.4497,0,,,,,,34.0
35.8,0,,29.6488,0,,35.4492,0,,,,,,36.0
37.79,0,,29.642,0,,35.4487,0,,,,,,38.0
39.77,0,,29.6378,0,,35.4487,0,,,,,,40.0
41.76,0,,29.6359,0,,35.4496,0,,,,,,42.0
43.75,0,,29.6223,0,,35.4508,0,,,,,,44.0
45.74,0,,29.5759,0,,35.4508,0,,,,,,46.0
47.73,0,,29.561,0,,35.4502,0,,,,,,48.0
49.72,0,,29.5401,0,,35.4525,0,,,,,,50.0
51.71,0,,29.5114,0,,35.4574,0,,,,,,52.0
53.69,0,,29.4948,0,,35.4577,0,,,,,,54.0
55.68,0,,29.482,0,,35.4611,0,,,,,,56.0
57.67,0,,29.4722,0,,35.4627,0,,,,,,58.0
59.66,0,,29.4574,0,,35.4655,0,,,,,,60.0
61.65,0,,29.4455,0,,35.4671,0,,,,,,62.0
63.64,0,,29.4378,0,,35.4674,0,,,,,,64.0
65.62,0,,29.4214,0,,35.469,0,,,,,,66.0
67.61,0,,29.3987,0,,35.4718,0,,,,,,68.0
69.6,0,,29.3585,0,,35.4736,0,,,,,,70.0
71.59,0,,29.2891,0,,35.4761,0,,,,,,72.0
73.58,0,,29.2662,0,,35.4743,0,,,,,,74.0
75.56,0,,29.2548,0,,35.4749,0,,,,,,76.0
77.55,0,,29.2394,0,,35.4768,0,,,,,,78.0
79.54,0,,29.2347,0,,35.4771,0,,,,,,80.0
81.53,0,,29.2308,0,,35.4766,0,,,,,,82.0
