# latitude: 0.0, longitude: -160.0, year: 2023, month: 5, day: 12, cruise: 13239, uid: 22287948
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
10.0,0,,27.52,0,,33.85,0,,,,,,
15.0,0,,28.03,0,,35.37,0,,,,,,
20.0,0,,28.0,0,,35.38,0,,,,,,
25.0,0,,27.97,0,,35.38,0,,,,,,
30.0,0,,27.95,0,,35.38,0,,,,,,
35.0,0,,27.92,0,,35.38,0,,,,,,
40.0,0,,27.89,0,,35.38,0,,,,,,
45.0,0,,27.86,0,,35.39,0,,,,,,
50.0,0,,27.82,0,,35.39,0,,,,,,
55.0,0,,27.77,0,,35.4,0,,,,,,
60.0,0,,27.61,0,,35.42,0,,,,,,
65.0,0,,27.48,0,,35.43,0,,,,,,
70.0,0,,27.4,0,,35.44,0,,,,,,
75.0,0,,27.33,0,,35.46,0,,,,,,
80.0,0,,27.21,0,,35.48,0,,,,,,
85.0,0,,26.94,0,,35.51,0,,,,,,
89.0,0,,26.89,0,,35.52,0,,,,,,
94.0,0,,26.82,0,,35.54,0,,,,,,
99.0,0,,26.67,0,,35.54,0,,,,,,
104.0,0,,26.53,0,,35.53,0,,,,,,
109.0,0,,26.1,0,,35.52,0,,,,,,
114.0,0,,25.3,0,,35.47,0,,,,,,
119.0,0,,25.0,0,,35.48,0,,,,,,
124.0,0,,24.07,0,,35.53,0,,,,,,
129.0,0,,22.91,0,,35.52,0,,,,,,
134.0,0,,22.54,0,,35.6,0,,,,,,
139.0,0,,21.4,0,,35.51,0,,,,,,
144.0,0,,20.11,0,,35.35,0,,,,,,
149.0,0,,19.69,0,,35.34,0,,,,,,
154.0,0,,19.68,0,,35.39,0,,,,,,
159.0,0,,18.72,0,,35.27,0,,,,,,
164.0,0,,17.3,0,,35.24,0,,,,,,
169.0,0,,17.02,0,,35.32,0,,,,,,
174.0,0,,16.47,0,,35.21,0,,,,,,
179.0,0,,15.8,0,,35.11,0,,,,,,
184.0,0,,15.11,0,,35.09,0,,,,,,
189.0,0,,15.07,0,,35.13,0,,,,,,
194.0,0,,14.84,0,,35.12,0,,,,,,
199.0,0,,14.48,0,,35.09,0,,,,,,
204.0,0,,13.92,0,,35.03,0,,,,,,
209.0,0,,13.61,0,,35.0,0,,,,,,
214.0,0,,13.31,0,,34.98,0,,,,,,
219.0,0,,13.03,0,,34.95,0,,,,,,
224.0,0,,12.9,0,,34.93,0,,,,,,
229.0,0,,12.55,0,,34.89,0,,,,,,
234.0,0,,12.33,0,,34.87,0,,,,,,
239.0,0,,12.22,0,,34.86,0,,,,,,
244.0,0,,12.18,0,,34.87,0,,,,,,
