# Nova Canton Expedition Leg 4
# Station: NC4_CR5_6900
# Latitude: -1.422
# Longitude: -169.06033333333335
# Date Collected: 2024-05-13T00:00:00.000000000
# CTD Serial Number: NA
# name 0 = Latitude
# name 1 = Longitude
# name 2 = p: Pressure [db]
# name 3 = z: Depth [m]
# name 4 = tnc90C: Temperature [ITS-90 deg C]
lat,lon,p,z,tnc90C
-1.422,-169.06033333333335,0.1,    nan,    nan
-1.422,-169.06033333333335,0.3,    0.2842859845398624,    28.53245105473149
-1.422,-169.06033333333335,0.5,    nan,    nan
-1.422,-169.06033333333335,0.7000000000000001,    0.6972552637394563,    28.598182515181005
-1.422,-169.06033333333335,0.9,    0.9172169773945925,    29.061316230700246
-1.422,-169.06033333333335,1.1,    1.1407953083009763,    29.11663756938856
-1.422,-169.06033333333335,1.3000000000000005,    1.2941622201390945,    29.119630903643117
-1.422,-169.06033333333335,1.5,    1.5052484443150973,    29.121821469165358
-1.422,-169.06033333333335,1.7000000000000002,    1.649519347857548,    29.12210340659292
-1.422,-169.06033333333335,1.9,    1.8882874407190506,    29.121586873997348
-1.422,-169.06033333333335,2.1,    2.0801409672366105,    29.12200763539953
-1.422,-169.06033333333335,2.3000000000000003,    2.2704547244216857,    29.12225490311423
-1.422,-169.06033333333335,2.5,    2.5064948518831227,    29.121143665559163
-1.422,-169.06033333333335,2.7,    2.6243075628675614,    29.12093432505472
-1.422,-169.06033333333335,2.9000000000000004,    2.841981570537528,    29.120889085817115
-1.422,-169.06033333333335,3.1,    3.0877554924734083,    29.120615734972013
-1.422,-169.06033333333335,3.3000000000000003,    3.2736216538057703,    29.119891377195295
-1.422,-169.06033333333335,3.5,    3.4832642822926654,    29.119342775660495
-1.422,-169.06033333333335,3.7,    3.622914850502312,    29.118707706331318
-1.422,-169.06033333333335,3.9,    3.865818696067477,    29.118598437188588
-1.422,-169.06033333333335,4.1,    4.039711552818809,    29.11845980191924
-1.422,-169.06033333333335,4.300000000000001,    4.291888028403628,    29.11799373820968
-1.422,-169.06033333333335,4.5,    4.4319376862006195,    29.117461638556414
-1.422,-169.06033333333335,4.700000000000001,    4.679850278818215,    29.117129771647885
-1.422,-169.06033333333335,4.9,    4.82798883093487,    29.11769444541407
-1.422,-169.06033333333335,5.1,    5.049667010136784,    29.11851925061565
-1.422,-169.06033333333335,5.300000000000001,    5.229948995216898,    29.11875044479332
-1.422,-169.06033333333335,5.5,    5.446672610532705,    29.117798593544617
-1.422,-169.06033333333335,5.700000000000001,    5.715032557628716,    29.11704647075749
-1.422,-169.06033333333335,5.9,    5.857115024801104,    29.11689963195672
-1.422,-169.06033333333335,6.1,    6.064071575767737,    29.117274050968387
-1.422,-169.06033333333335,6.300000000000001,    6.238529972120429,    29.117946221203063
-1.422,-169.06033333333335,6.5,    6.454277367665793,    29.119013098987466
-1.422,-169.06033333333335,6.700000000000001,    6.648225158470557,    29.11969835963202
-1.422,-169.06033333333335,6.9,    6.834932619743727,    29.119860815582207
-1.422,-169.06033333333335,7.1,    7.012303143015084,    29.120088490793638
-1.422,-169.06033333333335,7.300000000000001,    7.261816030810846,    29.120250420624618
-1.422,-169.06033333333335,7.5,    7.387959759569291,    29.12016295743158
-1.422,-169.06033333333335,7.700000000000001,    7.576854919927653,    29.119905350547025
-1.422,-169.06033333333335,7.9,    7.820900055792717,    29.119638620030003
-1.422,-169.06033333333335,8.100000000000001,    8.03464455034994,    29.119591384764664
-1.422,-169.06033333333335,8.3,    8.264085201169465,    29.11971253134045
-1.422,-169.06033333333335,8.5,    8.415551238326723,    29.11998059828115
-1.422,-169.06033333333335,8.7,    8.615216698578863,    29.12004418294701
-1.422,-169.06033333333335,8.9,    8.828792838519478,    29.120029276616727
-1.422,-169.06033333333335,9.1,    9.025326335254304,    29.120183656180238
-1.422,-169.06033333333335,9.3,    9.205195602054012,    29.120459803313736
-1.422,-169.06033333333335,9.5,    9.468657105513952,    29.12078054147779
-1.422,-169.06033333333335,9.7,    9.623450998076814,    29.121181677367638
-1.422,-169.06033333333335,9.9,    9.764788687411603,    29.121598081972785
-1.422,-169.06033333333335,10.1,    10.023391035789858,    29.12204951643608
-1.422,-169.06033333333335,10.3,    10.226179334861117,    29.122424528957545
-1.422,-169.06033333333335,10.5,    10.407072825249914,    29.12271417590294
-1.422,-169.06033333333335,10.7,    10.662325556171982,    29.123232120738606
-1.422,-169.06033333333335,10.9,    10.802568778238696,    29.12375187374415
-1.422,-169.06033333333335,11.1,    11.028513819873472,    29.12395001328275
-1.422,-169.06033333333335,11.3,    11.253953016163289,    29.124013786138267
-1.422,-169.06033333333335,11.5,    11.40985676176966,    29.12382078259742
-1.422,-169.06033333333335,11.7,    11.61156159586453,    29.123153770604414
-1.422,-169.06033333333335,11.9,    11.807647981593126,    29.12269463503129
-1.422,-169.06033333333335,12.1,    12.023119177176367,    29.12248172672062
-1.422,-169.06033333333335,12.3,    12.226188190714563,    29.122655296349148
-1.422,-169.06033333333335,12.5,    12.42144118004174,    29.123321228313156
-1.422,-169.06033333333335,12.7,    12.601242783964816,    29.123831280134056
-1.422,-169.06033333333335,12.9,    12.795904619289805,    29.124247267320996
-1.422,-169.06033333333335,13.1,    12.992056207561017,    29.124318179952848
-1.422,-169.06033333333335,13.3,    13.19185548651735,    29.124358738375232
-1.422,-169.06033333333335,13.5,    13.403580041140518,    29.124485267836242
-1.422,-169.06033333333335,13.7,    13.577084781230193,    29.124663481001978
-1.422,-169.06033333333335,13.9,    13.79364927161241,    29.12497000467504
