# Nova Canton Expedition Leg 3
# Station: NC3_OM8_2700
# Latitude: -1.2996666666666667
# Longitude: -168.16366666666667
# Date Collected: 2024-04-24T00:00:00.000000000
# CTD Serial Number: NA
# name 0 = Latitude
# name 1 = Longitude
# name 2 = p: Pressure [db]
# name 3 = z: Depth [m]
# name 4 = tnc90C: Temperature [ITS-90 deg C]
lat,lon,p,z,tnc90C
-1.2996666666666667,-168.16366666666667,0.5,0.8009391034530501,28.03683563213688
-1.2996666666666667,-168.16366666666667,1.5,1.511313705482468,28.737180827588887
-1.2996666666666667,-168.16366666666667,2.5,2.474251142170549,28.737211858190104
-1.2996666666666667,-168.16366666666667,3.5,3.4562928920233538,28.74594746599726
-1.2996666666666667,-168.16366666666667,4.5,4.452884536653886,28.76072362662342
-1.2996666666666667,-168.16366666666667,5.5,5.455389995727162,28.797372952203748
-1.2996666666666667,-168.16366666666667,6.5,6.492761150463357,28.796961843421535
-1.2996666666666667,-168.16366666666667,7.5,7.444929854283595,28.89048436316335
-1.2996666666666667,-168.16366666666667,8.5,8.408559087779265,28.92293960017313
-1.2996666666666667,-168.16366666666667,9.5,9.40809888457623,28.949089442971996
-1.2996666666666667,-168.16366666666667,10.5,10.448456377810846,28.999888109872497
-1.2996666666666667,-168.16366666666667,11.5,11.411525458187072,29.01967998613941
-1.2996666666666667,-168.16366666666667,12.5,12.335753716448798,29.02605541603437
-1.2996666666666667,-168.16366666666667,13.5,13.38727455905908,29.006855408806324
-1.2996666666666667,-168.16366666666667,14.5,14.437208203669533,28.99833101159332
-1.2996666666666667,-168.16366666666667,15.5,15.412937968371486,28.98456839253694
-1.2996666666666667,-168.16366666666667,16.5,16.363280276281024,28.987081029924628
-1.2996666666666667,-168.16366666666667,17.5,17.284869521249163,28.9838576443099
-1.2996666666666667,-168.16366666666667,18.5,18.34863153548267,28.95889075881059
-1.2996666666666667,-168.16366666666667,19.5,19.29421366204977,28.95995024230036
-1.2996666666666667,-168.16366666666667,20.5,20.30989229579717,28.949322892536884
-1.2996666666666667,-168.16366666666667,21.5,21.33939164636385,28.936060450085954
-1.2996666666666667,-168.16366666666667,22.5,22.33209235180034,28.919709908481607
-1.2996666666666667,-168.16366666666667,23.5,23.321655678548694,28.916836796066008
-1.2996666666666667,-168.16366666666667,24.5,24.268279126476852,28.9097297218
-1.2996666666666667,-168.16366666666667,25.5,25.321931720104093,28.897310253010133
-1.2996666666666667,-168.16366666666667,26.5,26.309196157635327,28.88913330714322
-1.2996666666666667,-168.16366666666667,27.5,27.255686216176233,28.88249817721772
-1.2996666666666667,-168.16366666666667,28.5,28.233734466144217,28.87520444031269
-1.2996666666666667,-168.16366666666667,29.5,29.269205326019907,28.88012218124054
-1.2996666666666667,-168.16366666666667,30.5,30.2255849286388,28.873735873671333
-1.2996666666666667,-168.16366666666667,31.5,31.21783415080594,28.869840888917903
-1.2996666666666667,-168.16366666666667,32.5,32.2002395721136,28.875970607541095
-1.2996666666666667,-168.16366666666667,33.5,33.25077340757424,28.876492931513
-1.2996666666666667,-168.16366666666667,34.5,34.24651341916909,28.87340102870368
-1.2996666666666667,-168.16366666666667,35.5,35.1496495801202,28.86619521769921
-1.2996666666666667,-168.16366666666667,36.5,36.16228530235165,28.860464285122767
-1.2996666666666667,-168.16366666666667,37.5,37.22428980113528,28.85502774157713
-1.2996666666666667,-168.16366666666667,38.5,38.2008334336595,28.85204476717329
-1.2996666666666667,-168.16366666666667,39.5,39.12423927601301,28.846080698523664
-1.2996666666666667,-168.16366666666667,40.5,40.14671210690733,28.847173071017085
-1.2996666666666667,-168.16366666666667,41.5,41.13583862878923,28.84581871253998
-1.2996666666666667,-168.16366666666667,42.5,42.115413797212064,28.842559875248835
-1.2996666666666667,-168.16366666666667,43.5,43.11026351355806,28.83815577849767
-1.2996666666666667,-168.16366666666667,44.5,44.17157192665094,28.844550342708043
-1.2996666666666667,-168.16366666666667,45.5,45.08630363218542,28.850411059471412
-1.2996666666666667,-168.16366666666667,46.5,46.166003567399216,28.844271591351863
-1.2996666666666667,-168.16366666666667,47.5,47.14294219835409,28.827932810881485
-1.2996666666666667,-168.16366666666667,48.5,48.17597826563561,28.822398854848437
-1.2996666666666667,-168.16366666666667,49.5,49.169477570468274,28.81685918969362
-1.2996666666666667,-168.16366666666667,50.5,50.099908325501936,28.811383197046588
-1.2996666666666667,-168.16366666666667,51.5,51.01436745749837,28.80594817771096
-1.2996666666666667,-168.16366666666667,52.5,52.0212675072879,28.803178903996155
-1.2996666666666667,-168.16366666666667,53.5,53.00278276920344,28.80249983862834
-1.2996666666666667,-168.16366666666667,54.5,54.03850131173555,28.803181686559636
-1.2996666666666667,-168.16366666666667,55.5,54.988477811846366,28.795165571970045
-1.2996666666666667,-168.16366666666667,56.5,56.01871583346171,28.789663866332543
-1.2996666666666667,-168.16366666666667,57.5,57.043969982403034,28.788745714688854
-1.2996666666666667,-168.16366666666667,58.5,57.92252854361836,28.78243015850882
-1.2996666666666667,-168.16366666666667,59.5,59.00741637746448,28.77658748818201
-1.2996666666666667,-168.16366666666667,60.5,60.00735778595654,28.774928513603175
-1.2996666666666667,-168.16366666666667,61.5,61.00294194746351,28.77054147983378
-1.2996666666666667,-168.16366666666667,62.5,61.99122153168614,28.77319475275279
-1.2996666666666667,-168.16366666666667,63.5,63.03113244987706,28.75410279456957
-1.2996666666666667,-168.16366666666667,64.5,63.98331874122136,28.74646215343422
-1.2996666666666667,-168.16366666666667,65.5,65.02329999366782,28.74322232749823
