# Nova Canton Expedition Leg 4
# Station: NC4_MA4_5900
# Latitude: -1.345
# Longitude: -169.113
# Date Collected: 2024-05-12T00:00:00.000000000
# CTD Serial Number: NA
# name 0 = Latitude
# name 1 = Longitude
# name 2 = p: Pressure [db]
# name 3 = z: Depth [m]
# name 4 = tnc90C: Temperature [ITS-90 deg C]
lat,lon,p,z,tnc90C
-1.345,-169.113,0.1,    nan,    nan
-1.345,-169.113,0.3,    nan,    nan
-1.345,-169.113,0.5,    nan,    nan
-1.345,-169.113,0.7000000000000001,    0.7773101296338918,    27.467601688111905
-1.345,-169.113,0.9,    0.8899949082549756,    28.24691959709156
-1.345,-169.113,1.1,    1.103861898900667,    29.06701711097303
-1.345,-169.113,1.3000000000000005,    1.2899891798174654,    29.077932833601736
-1.345,-169.113,1.5,    1.4383027947258737,    29.08006508765546
-1.345,-169.113,1.7000000000000002,    1.6793668036437794,    29.08018542689294
-1.345,-169.113,1.9,    1.9192911651589355,    29.07720439586546
-1.345,-169.113,2.1,    2.068578304498992,    29.07599362868728
-1.345,-169.113,2.3000000000000003,    2.274469781558925,    29.075286834109395
-1.345,-169.113,2.5,    2.478217614571198,    29.0746573585554
-1.345,-169.113,2.7,    2.6574251114556184,    29.075114543424803
-1.345,-169.113,2.9000000000000004,    2.8228553817824915,    29.076273813148497
-1.345,-169.113,3.1,    3.074791074922185,    29.077591404701383
-1.345,-169.113,3.3000000000000003,    3.2632942993014944,    29.0787210749528
-1.345,-169.113,3.5,    3.4672968150328773,    29.077927973959216
-1.345,-169.113,3.7,    3.644443873393677,    29.0764259673239
-1.345,-169.113,3.9,    3.8548882912632676,    29.07488659379574
-1.345,-169.113,4.1,    4.027259055999651,    29.074097968180883
-1.345,-169.113,4.300000000000001,    4.2863507281039,    29.074237566475208
-1.345,-169.113,4.5,    4.4373469101876175,    29.074726862737297
-1.345,-169.113,4.700000000000001,    4.606107863793746,    29.075300798807973
-1.345,-169.113,4.9,    4.8455357814769995,    29.076063534127403
-1.345,-169.113,5.1,    5.10354759121045,    29.076605109860797
-1.345,-169.113,5.300000000000001,    5.3148740466708,    29.076803999509515
-1.345,-169.113,5.5,    5.501144431051272,    29.076749747882694
-1.345,-169.113,5.700000000000001,    5.6535375276287745,    29.076743514926065
-1.345,-169.113,5.9,    5.863308644485461,    29.0768525879423
-1.345,-169.113,6.1,    6.039436293891958,    29.07685479997454
-1.345,-169.113,6.300000000000001,    6.223436718646309,    29.07679770429134
-1.345,-169.113,6.5,    6.45292713608588,    29.076610432039484
-1.345,-169.113,6.700000000000001,    6.61350197758373,    29.076277244703558
-1.345,-169.113,6.9,    6.868943783464826,    29.075487622633165
-1.345,-169.113,7.1,    7.097784159230192,    29.074817388351203
-1.345,-169.113,7.300000000000001,    7.25468621218199,    29.074734537478776
-1.345,-169.113,7.5,    7.477577022779184,    29.074777727043006
-1.345,-169.113,7.700000000000001,    7.637137871107795,    29.07492213571458
-1.345,-169.113,7.9,    7.812304696292902,    29.07503544270635
-1.345,-169.113,8.100000000000001,    8.023129994713559,    29.07496219326916
-1.345,-169.113,8.3,    8.267333055226501,    29.074705726798765
-1.345,-169.113,8.5,    8.458803163744525,    29.074511044508267
-1.345,-169.113,8.7,    8.596746700256872,    29.07440234611927
-1.345,-169.113,8.9,    8.812312252722025,    29.074355425822443
-1.345,-169.113,9.1,    8.99641547939544,    29.074292924119476
-1.345,-169.113,9.3,    9.187736224684937,    29.07416258055193
-1.345,-169.113,9.5,    9.451480504992013,    29.07391001291424
-1.345,-169.113,9.7,    9.624133177089337,    29.073995838773747
-1.345,-169.113,9.9,    9.822711884030433,    29.07414873989525
-1.345,-169.113,10.1,    10.028049632648845,    29.074404847980976
-1.345,-169.113,10.3,    10.171252188284631,    29.074554123727626
-1.345,-169.113,10.5,    10.397645644056112,    29.07453996546079
-1.345,-169.113,10.7,    10.613237991136694,    29.074484467434072
-1.345,-169.113,10.9,    10.822517428050322,    29.0745913004491
-1.345,-169.113,11.1,    10.991399523489768,    29.074770313745383
-1.345,-169.113,11.3,    11.232254510092657,    29.07504034138043
-1.345,-169.113,11.5,    11.430180774174515,    29.075178593554885
-1.345,-169.113,11.7,    11.607976601133835,    29.075227755809827
-1.345,-169.113,11.9,    11.825981918419666,    29.075123227013176
-1.345,-169.113,12.1,    12.028244574574622,    29.07495340879421
-1.345,-169.113,12.3,    12.166365252418508,    29.074902581863043
-1.345,-169.113,12.5,    12.396389333116561,    29.07488934835982
-1.345,-169.113,12.7,    12.62236727169678,    29.07537896969507
-1.345,-169.113,12.9,    12.830714355160987,    29.076241170114315
-1.345,-169.113,13.1,    12.96728541029468,    29.077029439589197
-1.345,-169.113,13.3,    13.188738661034165,    29.07763930658605
-1.345,-169.113,13.5,    13.4210462880678,    29.07793942300491
-1.345,-169.113,13.7,    13.584300134699035,    29.077416493530922
-1.345,-169.113,13.9,    13.766351137375983,    29.076608464264925
-1.345,-169.113,14.1,    13.96334666393754,    29.07564636096197
-1.345,-169.113,14.3,    14.169457562003288,    29.075001155245467
-1.345,-169.113,14.5,    14.396415532413874,    29.074867687471595
-1.345,-169.113,14.7,    14.596915978098405,    29.075057865406166
-1.345,-169.113,14.9,    14.815247772127147,    29.07524210865052
-1.345,-169.113,15.1,    14.940356455271427,    29.075353484893043
-1.345,-169.113,15.3,    15.148999544754426,    29.075532840899406
-1.345,-169.113,15.5,    15.394231405697232,    29.075762666151444
-1.345,-169.113,15.7,    15.563235489377474,    29.07583893346851
-1.345,-169.113,15.9,    15.737029820469854,    29.075935900372503
