lat,lon,pressure_qc,pressure,temp_qc,temp,salinity_qc,salinity
-33.0008,189.9972,4.0,0.0,nan,-99.0,nan,-99.0
-33.0008,189.9972,4.0,2.0,nan,-99.0,nan,-99.0
-33.0008,189.9972,4.0,4.0,nan,-99.0,nan,-99.0
-33.0008,189.9972,2.0,6.0,2.0,17.7491,2.0,35.3989
-33.0008,189.9972,2.0,8.0,2.0,17.7495,2.0,35.3987
-33.0008,189.9972,2.0,10.0,2.0,17.7488,2.0,35.3992
-33.0008,189.9972,2.0,12.0,2.0,17.7489,2.0,35.3984
-33.0008,189.9972,2.0,14.0,2.0,17.7472,2.0,35.3976
-33.0008,189.9972,2.0,16.0,2.0,17.7468,2.0,35.3975
-33.0008,189.9972,2.0,18.0,2.0,17.7459,2.0,35.3972
-33.0008,189.9972,2.0,20.0,2.0,17.7464,2.0,35.3968
-33.0008,189.9972,2.0,22.0,2.0,17.7466,2.0,35.3963
-33.0008,189.9972,2.0,24.0,2.0,17.7454,2.0,35.397
-33.0008,189.9972,2.0,26.0,2.0,17.7459,2.0,35.3973
-33.0008,189.9972,2.0,28.0,2.0,17.7457,2.0,35.3977
-33.0008,189.9972,2.0,30.0,2.0,17.7478,2.0,35.3977
-33.0008,189.9972,2.0,32.0,2.0,17.7499,2.0,35.3977
-33.0008,189.9972,2.0,34.0,2.0,17.751,2.0,35.3981
-33.0008,189.9972,2.0,36.0,2.0,17.7517,2.0,35.3979
-33.0008,189.9972,2.0,38.0,2.0,17.7511,2.0,35.3983
-33.0008,189.9972,2.0,40.0,2.0,17.7515,2.0,35.3986
-33.0008,189.9972,2.0,42.0,2.0,17.7504,2.0,35.3983
-33.0008,189.9972,2.0,44.0,2.0,17.7523,2.0,35.3967
-33.0008,189.9972,2.0,46.0,2.0,17.7521,2.0,35.3971
-33.0008,189.9972,2.0,48.0,2.0,17.7545,2.0,35.3953
-33.0008,189.9972,2.0,50.0,2.0,17.7546,2.0,35.3956
-33.0008,189.9972,2.0,52.0,2.0,17.7542,2.0,35.3962
-33.0008,189.9972,2.0,54.0,2.0,17.7537,2.0,35.3969
-33.0008,189.9972,2.0,56.0,2.0,17.7534,2.0,35.3967
-33.0008,189.9972,2.0,58.0,2.0,17.7527,2.0,35.3971
-33.0008,189.9972,2.0,60.0,2.0,17.7546,2.0,35.3962
-33.0008,189.9972,2.0,62.0,2.0,17.7588,2.0,35.3947
-33.0008,189.9972,2.0,64.0,2.0,17.7601,2.0,35.3953
-33.0008,189.9972,2.0,66.0,2.0,17.7614,2.0,35.3957
-33.0008,189.9972,2.0,68.0,2.0,17.7624,2.0,35.3961
-33.0008,189.9972,2.0,70.0,2.0,17.7632,2.0,35.3964
-33.0008,189.9972,2.0,72.0,2.0,17.7636,2.0,35.3965
-33.0008,189.9972,2.0,74.0,2.0,17.7643,2.0,35.3964
-33.0008,189.9972,2.0,76.0,2.0,17.762,2.0,35.3962
-33.0008,189.9972,2.0,78.0,2.0,17.7646,2.0,35.3966
-33.0008,189.9972,2.0,80.0,2.0,17.7656,2.0,35.3969
-33.0008,189.9972,2.0,82.0,2.0,17.7658,2.0,35.3968
-33.0008,189.9972,2.0,84.0,2.0,17.7631,2.0,35.3969
-33.0008,189.9972,2.0,86.0,2.0,17.756,2.0,35.3963
-33.0008,189.9972,2.0,88.0,2.0,17.7542,2.0,35.3959
-33.0008,189.9972,2.0,90.0,2.0,17.7518,2.0,35.3955
-33.0008,189.9972,2.0,92.0,2.0,17.746,2.0,35.3947
-33.0008,189.9972,2.0,94.0,2.0,17.7222,2.0,35.3924
-33.0008,189.9972,2.0,96.0,2.0,16.6862,2.0,35.3241
-33.0008,189.9972,2.0,98.0,2.0,16.1363,2.0,35.307
-33.0008,189.9972,2.0,100.0,2.0,16.0905,2.0,35.3004
-33.0008,189.9972,2.0,102.0,2.0,16.0389,2.0,35.292
-33.0008,189.9972,2.0,104.0,2.0,15.7473,2.0,35.3187
-33.0008,189.9972,2.0,106.0,2.0,15.676,2.0,35.3338
-33.0008,189.9972,2.0,108.0,2.0,15.6787,2.0,35.338
-33.0008,189.9972,2.0,110.0,2.0,15.6524,2.0,35.3388
-33.0008,189.9972,2.0,112.0,2.0,15.6013,2.0,35.3381
-33.0008,189.9972,2.0,114.0,2.0,15.5643,2.0,35.3351
-33.0008,189.9972,2.0,116.0,2.0,15.5126,2.0,35.3351
-33.0008,189.9972,2.0,118.0,2.0,15.3914,2.0,35.3342
-33.0008,189.9972,2.0,120.0,2.0,15.2937,2.0,35.3263
-33.0008,189.9972,2.0,122.0,2.0,15.2097,2.0,35.3187
-33.0008,189.9972,2.0,124.0,2.0,15.1711,2.0,35.318
-33.0008,189.9972,2.0,126.0,2.0,15.1255,2.0,35.3206
-33.0008,189.9972,2.0,128.0,2.0,15.0345,2.0,35.3195
-33.0008,189.9972,2.0,130.0,2.0,14.9629,2.0,35.3161
-33.0008,189.9972,2.0,132.0,2.0,14.9054,2.0,35.3098
-33.0008,189.9972,2.0,134.0,2.0,14.8168,2.0,35.3019
-33.0008,189.9972,2.0,136.0,2.0,14.7177,2.0,35.2911
-33.0008,189.9972,2.0,138.0,2.0,14.6812,2.0,35.285
-33.0008,189.9972,2.0,140.0,2.0,14.6655,2.0,35.2811
-33.0008,189.9972,2.0,142.0,2.0,14.6413,2.0,35.2772
-33.0008,189.9972,2.0,144.0,2.0,14.612,2.0,35.273
-33.0008,189.9972,2.0,146.0,2.0,14.5874,2.0,35.2684
-33.0008,189.9972,2.0,148.0,2.0,14.5311,2.0,35.2628
-33.0008,189.9972,2.0,150.0,2.0,14.511,2.0,35.2605
-33.0008,189.9972,2.0,152.0,2.0,14.5235,2.0,35.2603
-33.0008,189.9972,2.0,154.0,2.0,14.4512,2.0,35.254
-33.0008,189.9972,2.0,156.0,2.0,14.3725,2.0,35.2466
-33.0008,189.9972,2.0,158.0,2.0,14.1513,2.0,35.2322
