lat,lon,pressure_qc,pressure,temp_qc,temp,salinity_qc,salinity
-56.0012,-170.0062,2.0,12.2,2.0,4.0234,2.0,33.9133
-56.0012,-170.0062,2.0,13.0,2.0,4.0228,2.0,33.9134
-56.0012,-170.0062,2.0,14.0,2.0,4.0227,2.0,33.9134
-56.0012,-170.0062,2.0,15.0,6.0,4.0229,6.0,33.9134
-56.0012,-170.0062,2.0,16.0,6.0,4.0228,6.0,33.9134
-56.0012,-170.0062,2.0,17.0,6.0,4.0226,6.0,33.9134
-56.0012,-170.0062,2.0,18.0,6.0,4.0225,6.0,33.9134
-56.0012,-170.0062,2.0,19.0,6.0,4.0223,6.0,33.9134
-56.0012,-170.0062,2.0,20.0,6.0,4.0222,6.0,33.9134
-56.0012,-170.0062,2.0,21.0,6.0,4.022,6.0,33.9134
-56.0012,-170.0062,2.0,22.0,6.0,4.0209,6.0,33.9135
-56.0012,-170.0062,2.0,23.0,6.0,4.0199,6.0,33.9136
-56.0012,-170.0062,2.0,24.0,6.0,4.0189,6.0,33.9136
-56.0012,-170.0062,2.0,25.0,6.0,4.0178,6.0,33.9137
-56.0012,-170.0062,2.0,26.0,6.0,4.0168,6.0,33.9138
-56.0012,-170.0062,2.0,27.0,6.0,4.0157,6.0,33.9139
-56.0012,-170.0062,2.0,28.0,2.0,4.0151,2.0,33.9139
-56.0012,-170.0062,2.0,29.0,6.0,4.0149,6.0,33.914
-56.0012,-170.0062,2.0,30.0,2.0,4.0132,2.0,33.9141
-56.0012,-170.0062,2.0,31.0,2.0,4.0132,2.0,33.9142
-56.0012,-170.0062,2.0,32.0,2.0,4.0125,2.0,33.9143
-56.0012,-170.0062,2.0,33.0,2.0,4.0106,2.0,33.9145
-56.0012,-170.0062,2.0,34.0,6.0,4.0099,6.0,33.9146
-56.0012,-170.0062,2.0,35.0,6.0,4.0087,6.0,33.9147
-56.0012,-170.0062,2.0,36.0,6.0,4.0077,6.0,33.9148
-56.0012,-170.0062,2.0,37.0,6.0,4.0067,6.0,33.9149
-56.0012,-170.0062,2.0,38.0,2.0,4.0055,2.0,33.9151
-56.0012,-170.0062,2.0,39.0,6.0,4.0048,6.0,33.9151
-56.0012,-170.0062,2.0,40.0,6.0,4.0011,6.0,33.9155
-56.0012,-170.0062,2.0,41.0,6.0,3.9975,6.0,33.9159
-56.0012,-170.0062,2.0,42.0,2.0,3.9939,2.0,33.9162
-56.0012,-170.0062,2.0,43.0,6.0,3.9923,6.0,33.9163
-56.0012,-170.0062,2.0,44.0,6.0,3.9883,6.0,33.9165
-56.0012,-170.0062,2.0,45.0,6.0,3.9845,6.0,33.9168
-56.0012,-170.0062,2.0,46.0,6.0,3.9807,6.0,33.9171
-56.0012,-170.0062,2.0,47.0,6.0,3.9771,6.0,33.9173
-56.0012,-170.0062,2.0,48.0,2.0,3.9707,2.0,33.9178
-56.0012,-170.0062,2.0,49.0,6.0,3.9689,6.0,33.9178
-56.0012,-170.0062,2.0,50.0,6.0,3.9629,6.0,33.9182
-56.0012,-170.0062,2.0,51.0,6.0,3.9564,6.0,33.9186
-56.0012,-170.0062,2.0,52.0,6.0,3.9497,6.0,33.919
-56.0012,-170.0062,2.0,53.0,2.0,3.9454,2.0,33.9192
-56.0012,-170.0062,2.0,54.0,2.0,3.9441,2.0,33.9191
-56.0012,-170.0062,2.0,55.0,6.0,3.9424,6.0,33.9191
-56.0012,-170.0062,2.0,56.0,6.0,3.9396,6.0,33.9192
-56.0012,-170.0062,2.0,57.0,6.0,3.9368,6.0,33.9193
-56.0012,-170.0062,2.0,58.0,6.0,3.9341,6.0,33.9194
-56.0012,-170.0062,2.0,59.0,6.0,3.9314,6.0,33.9195
-56.0012,-170.0062,2.0,60.0,6.0,3.9296,6.0,33.9194
-56.0012,-170.0062,2.0,61.0,6.0,3.928,6.0,33.9195
-56.0012,-170.0062,2.0,62.0,6.0,3.9264,6.0,33.9195
-56.0012,-170.0062,2.0,63.0,6.0,3.9249,6.0,33.9195
-56.0012,-170.0062,2.0,64.0,2.0,3.9234,2.0,33.9197
-56.0012,-170.0062,2.0,65.0,2.0,3.9229,2.0,33.9197
-56.0012,-170.0062,2.0,66.0,2.0,3.9227,2.0,33.9197
-56.0012,-170.0062,2.0,67.0,2.0,3.923,2.0,33.9196
-56.0012,-170.0062,2.0,68.0,6.0,3.9225,6.0,33.9196
-56.0012,-170.0062,2.0,69.0,2.0,3.9217,2.0,33.9197
