lat,lon,pressure_qc,pressure,temp_qc,temp,salinity_qc,salinity
7.4907,-168.7385,2.0,0.0,2.0,29.3469,2.0,33.9252
7.4907,-168.7385,2.0,2.0,2.0,29.3472,2.0,33.9238
7.4907,-168.7385,2.0,4.0,2.0,29.3605,2.0,33.9472
7.4907,-168.7385,2.0,6.0,2.0,29.383,2.0,33.9836
7.4907,-168.7385,2.0,8.0,2.0,29.4148,2.0,34.0487
7.4907,-168.7385,2.0,10.0,2.0,29.4342,2.0,34.0865
7.4907,-168.7385,2.0,12.0,2.0,29.4366,2.0,34.0935
7.4907,-168.7385,2.0,14.0,2.0,29.4354,2.0,34.0975
7.4907,-168.7385,2.0,16.0,2.0,29.4266,2.0,34.1104
7.4907,-168.7385,2.0,18.0,2.0,29.4181,2.0,34.1188
7.4907,-168.7385,2.0,20.0,2.0,29.3995,2.0,34.1327
7.4907,-168.7385,2.0,22.0,2.0,29.3789,2.0,34.1495
7.4907,-168.7385,2.0,24.0,2.0,29.3497,2.0,34.1595
7.4907,-168.7385,2.0,26.0,2.0,29.3338,2.0,34.166
7.4907,-168.7385,2.0,28.0,2.0,29.335,2.0,34.1861
7.4907,-168.7385,2.0,30.0,2.0,29.3261,2.0,34.1965
7.4907,-168.7385,2.0,32.0,2.0,29.2511,2.0,34.2159
7.4907,-168.7385,2.0,34.0,2.0,29.0871,2.0,34.2507
7.4907,-168.7385,2.0,36.0,2.0,28.9102,2.0,34.3002
7.4907,-168.7385,2.0,38.0,2.0,28.7484,2.0,34.328
7.4907,-168.7385,2.0,40.0,2.0,28.6998,2.0,34.3276
7.4907,-168.7385,2.0,42.0,2.0,28.5243,2.0,34.3579
7.4907,-168.7385,2.0,44.0,2.0,28.2741,2.0,34.4101
7.4907,-168.7385,2.0,46.0,2.0,27.6752,2.0,34.4478
7.4907,-168.7385,2.0,48.0,2.0,27.3162,2.0,34.4612
7.4907,-168.7385,2.0,50.0,2.0,27.1088,2.0,34.4765
7.4907,-168.7385,2.0,52.0,2.0,26.7803,2.0,34.5317
7.4907,-168.7385,2.0,54.0,2.0,26.5118,2.0,34.5499
7.4907,-168.7385,2.0,56.0,2.0,26.1864,2.0,34.6145
7.4907,-168.7385,2.0,58.0,2.0,25.8591,2.0,34.6985
7.4907,-168.7385,2.0,60.0,2.0,25.5237,2.0,34.7331
7.4907,-168.7385,2.0,62.0,2.0,25.1973,2.0,34.8004
7.4907,-168.7385,2.0,64.0,2.0,25.027,2.0,34.8135
7.4907,-168.7385,2.0,66.0,2.0,24.8451,2.0,34.8424
7.4907,-168.7385,2.0,68.0,2.0,24.6973,2.0,34.8572
7.4907,-168.7385,2.0,70.0,2.0,24.6015,2.0,34.8657
7.4907,-168.7385,2.0,72.0,2.0,24.2162,2.0,34.942
7.4907,-168.7385,2.0,74.0,2.0,23.8562,2.0,34.9618
7.4907,-168.7385,2.0,76.0,2.0,23.3913,2.0,34.9842
7.4907,-168.7385,2.0,78.0,2.0,23.1899,2.0,34.9845
7.4907,-168.7385,2.0,80.0,2.0,22.9355,2.0,35.0007
7.4907,-168.7385,2.0,82.0,2.0,22.1592,2.0,34.9934
7.4907,-168.7385,2.0,84.0,2.0,21.7436,2.0,34.9689
7.4907,-168.7385,2.0,86.0,2.0,21.5684,2.0,34.9741
7.4907,-168.7385,2.0,88.0,2.0,21.3295,2.0,34.9629
7.4907,-168.7385,2.0,90.0,2.0,21.1714,2.0,34.9478
7.4907,-168.7385,2.0,92.0,2.0,20.9368,2.0,34.9408
7.4907,-168.7385,2.0,94.0,2.0,20.4054,2.0,34.9293
7.4907,-168.7385,2.0,96.0,2.0,19.6952,2.0,34.9261
7.4907,-168.7385,2.0,98.0,2.0,19.4539,2.0,34.9156
7.4907,-168.7385,2.0,100.0,2.0,19.0786,2.0,34.8983
7.4907,-168.7385,2.0,102.0,2.0,18.9041,2.0,34.8965
7.4907,-168.7385,2.0,104.0,2.0,18.6222,2.0,34.9029
7.4907,-168.7385,2.0,106.0,2.0,17.8111,2.0,34.8667
7.4907,-168.7385,2.0,108.0,2.0,17.1125,2.0,34.7855
7.4907,-168.7385,2.0,110.0,2.0,16.3745,2.0,34.7134
7.4907,-168.7385,2.0,112.0,2.0,15.8249,2.0,34.6576
7.4907,-168.7385,2.0,114.0,2.0,15.6101,2.0,34.6261
7.4907,-168.7385,2.0,116.0,2.0,15.3179,2.0,34.6139
7.4907,-168.7385,2.0,118.0,2.0,14.8428,2.0,34.5933
7.4907,-168.7385,2.0,120.0,2.0,14.551,2.0,34.5525
7.4907,-168.7385,2.0,122.0,2.0,14.2061,2.0,34.5468
7.4907,-168.7385,2.0,124.0,2.0,13.9742,2.0,34.5384
7.4907,-168.7385,2.0,126.0,2.0,13.9192,2.0,34.5265
7.4907,-168.7385,2.0,128.0,2.0,13.8788,2.0,34.5377
7.4907,-168.7385,2.0,130.0,2.0,13.6439,2.0,34.5732
7.4907,-168.7385,2.0,132.0,2.0,13.6257,2.0,34.571
7.4907,-168.7385,2.0,134.0,2.0,13.2752,2.0,34.6009
7.4907,-168.7385,2.0,136.0,2.0,13.1644,2.0,34.5843
7.4907,-168.7385,2.0,138.0,2.0,13.053,2.0,34.5929
7.4907,-168.7385,2.0,140.0,2.0,12.7469,2.0,34.5968
7.4907,-168.7385,2.0,142.0,2.0,12.6537,2.0,34.5986
7.4907,-168.7385,2.0,144.0,2.0,12.4928,2.0,34.5952
7.4907,-168.7385,2.0,146.0,2.0,12.3859,2.0,34.59
7.4907,-168.7385,2.0,148.0,2.0,12.2729,2.0,34.5967
7.4907,-168.7385,2.0,150.0,2.0,12.1441,2.0,34.5948
7.4907,-168.7385,2.0,152.0,2.0,12.1103,2.0,34.5902
7.4907,-168.7385,2.0,154.0,2.0,12.0775,2.0,34.5918
7.4907,-168.7385,2.0,156.0,2.0,11.9646,2.0,34.6025
7.4907,-168.7385,2.0,158.0,2.0,11.8602,2.0,34.6011
7.4907,-168.7385,2.0,160.0,2.0,11.7364,2.0,34.6081
7.4907,-168.7385,2.0,162.0,2.0,11.6593,2.0,34.6108
7.4907,-168.7385,2.0,164.0,2.0,11.5906,2.0,34.6154
7.4907,-168.7385,2.0,166.0,2.0,11.5127,2.0,34.6214
7.4907,-168.7385,2.0,168.0,2.0,11.4189,2.0,34.6232
7.4907,-168.7385,2.0,170.0,2.0,11.4154,2.0,34.6206
7.4907,-168.7385,2.0,172.0,2.0,11.3681,2.0,34.6321
7.4907,-168.7385,2.0,174.0,2.0,11.2368,2.0,34.6346
7.4907,-168.7385,2.0,176.0,2.0,11.1212,2.0,34.638
7.4907,-168.7385,2.0,178.0,2.0,11.0746,2.0,34.6394
7.4907,-168.7385,2.0,180.0,2.0,11.0321,2.0,34.6428
7.4907,-168.7385,2.0,182.0,2.0,10.895,2.0,34.6482
7.4907,-168.7385,2.0,184.0,2.0,10.7885,2.0,34.6512
7.4907,-168.7385,2.0,186.0,2.0,10.7434,2.0,34.6529
7.4907,-168.7385,2.0,188.0,2.0,10.7094,2.0,34.6541
7.4907,-168.7385,2.0,190.0,2.0,10.6494,2.0,34.6483
7.4907,-168.7385,2.0,192.0,2.0,10.598,2.0,34.6439
7.4907,-168.7385,2.0,194.0,2.0,10.5645,2.0,34.6455
7.4907,-168.7385,2.0,196.0,2.0,10.548,2.0,34.6541
7.4907,-168.7385,2.0,198.0,2.0,10.5266,2.0,34.6546
7.4907,-168.7385,2.0,200.0,2.0,10.5045,2.0,34.6568
7.4907,-168.7385,2.0,202.0,2.0,10.4736,2.0,34.6546
7.4907,-168.7385,2.0,204.0,2.0,10.4135,2.0,34.661
7.4907,-168.7385,2.0,206.0,2.0,10.3869,2.0,34.6627
7.4907,-168.7385,2.0,208.0,2.0,10.3481,2.0,34.6657
7.4907,-168.7385,2.0,210.0,2.0,10.3261,2.0,34.6661
7.4907,-168.7385,2.0,212.0,2.0,10.3023,2.0,34.6648
7.4907,-168.7385,2.0,214.0,2.0,10.2652,2.0,34.6642
7.4907,-168.7385,2.0,216.0,2.0,10.2334,2.0,34.6646
7.4907,-168.7385,2.0,218.0,2.0,10.2123,2.0,34.6637
7.4907,-168.7385,2.0,220.0,2.0,10.1414,2.0,34.6652
7.4907,-168.7385,2.0,222.0,2.0,10.1244,2.0,34.6624
7.4907,-168.7385,2.0,224.0,2.0,10.1161,2.0,34.6624
7.4907,-168.7385,2.0,226.0,2.0,10.1,2.0,34.6629
7.4907,-168.7385,2.0,228.0,2.0,10.0815,2.0,34.6637
7.4907,-168.7385,2.0,230.0,2.0,10.0374,2.0,34.6641
7.4907,-168.7385,2.0,232.0,2.0,9.973,2.0,34.6618
7.4907,-168.7385,2.0,234.0,2.0,9.9223,2.0,34.6587
7.4907,-168.7385,2.0,236.0,2.0,9.9119,2.0,34.6567
7.4907,-168.7385,2.0,238.0,2.0,9.8925,2.0,34.6568
