# Nova Canton Expedition Leg 1# Station: NC1_OM6_7600
# Latitude: -1.0062333333333333
# Longitude: -167.843
# Date Collected: 2024-03-06 00:00:00
# CTD Serial Number: 490.0
# name 0 = Latitude
# name 1 = Longitude
# name 2 = p: Pressure [db]
# name 3 = z: Depth [m]
# name 4 = tnc90C: Temperature [ITS-90 deg C]
# name 5 = SP:  Practical Salinity[PSU]
lat,lon,p,z,tnc90C,SP
-1.006233333333333,-167.843,50.99999999999999,50.71354861902204,27.4844076517191,35.54338143144652
-1.006233333333333,-167.843,53.0,52.7020594816046,27.33271920458832,35.54211077851031
-1.006233333333333,-167.843,54.99999999999999,54.69055105322556,27.18059907306237,35.54085149845947
-1.006233333333333,-167.843,57.00000000000001,56.67902333507575,27.02680370594893,35.539685216890035
-1.006233333333333,-167.843,59.00000000000001,58.66747632834583,26.869814795618577,35.53879275581666
-1.006233333333333,-167.843,61.0,60.65591003422645,26.70784843901829,35.53843919097787
-1.006233333333333,-167.843,62.99999999999999,62.64432445390816,26.53984623767129,35.538826435465
-1.006233333333333,-167.843,65.00000000000001,64.6327195885815,26.36551824253469,35.54012549646405
-1.006233333333333,-167.843,67.0,66.62109543943681,26.18481852048738,35.5426124459976
-1.006233333333333,-167.843,69.00000000000001,68.60945200766457,25.998103689548373,35.5465774892141
-1.006233333333333,-167.843,71.00000000000001,70.59778929445496,25.805978542404837,35.552118729014715
-1.006233333333333,-167.843,73.00000000000001,72.58610730099826,25.60903342374421,35.559100490493265
-1.006233333333333,-167.843,75.0,74.57440602848465,25.407433181607846,35.56731077408755
-1.006233333333333,-167.843,76.99999999999996,76.56268547810416,25.20075776520829,35.57651095088632
-1.006233333333333,-167.843,78.99999999999999,78.55094565104687,24.987940123902803,35.58636431905443
-1.006233333333333,-167.843,80.99999999999997,80.53918654850271,24.76778278146707,35.59654906109728
-1.006233333333333,-167.843,83.0,82.52740817166159,24.53946209327279,35.60688100495275
-1.006233333333333,-167.843,85.0,84.51561052171327,24.30266081488829,35.61703639450728
-1.006233333333333,-167.843,87.00000000000001,86.50379359984755,24.05768943020656,35.62662300240573
-1.006233333333333,-167.843,88.99999999999999,88.49195740725409,23.805274493282827,35.63533416058395
-1.006233333333333,-167.843,91.0,90.48010194512251,23.54629341492674,35.642792377244035
-1.006233333333333,-167.843,93.0,92.4682272146424,23.281807399901645,35.648539427445286
-1.006233333333333,-167.843,95.0,94.4563332170032,23.013107731631465,35.65214880221942
-1.006233333333333,-167.843,97.00000000000004,96.4444199533943,22.74133482708645,35.6533186254384
-1.006233333333333,-167.843,99.0,98.43248742500506,22.467536028594917,35.65183093859466
-1.006233333333333,-167.843,101.0,100.42053563302478,22.19310817369876,35.647601869561974
-1.006233333333333,-167.843,103.0,102.40856457864264,21.91974364676652,35.64076291115085
-1.006233333333333,-167.843,104.99999999999996,104.39657426304778,21.64941614624191,35.63164998640793
-1.006233333333333,-167.843,107.0,106.38456468742932,21.38462152441113,35.62072191916754
-1.006233333333333,-167.843,108.99999999999996,108.3725358529762,21.128276097388174,35.60847395625931
-1.006233333333333,-167.843,111.00000000000004,110.36048776087743,20.88354612062481,35.59539407969415
-1.006233333333333,-167.843,113.00000000000004,112.3484204123218,20.6539301493908,35.58196662808225
-1.006233333333333,-167.843,114.99999999999991,114.33633380849813,20.44224295006041,35.56873046600148
-1.006233333333333,-167.843,117.0,116.3242279505952,20.250077316928287,35.556181419009654
-1.006233333333333,-167.843,119.0,118.31210283980164,20.077841430323595,35.544752905592404
-1.006233333333333,-167.843,120.99999999999996,120.29995847730602,19.92475512039223,35.53476048906902
-1.006233333333333,-167.843,123.0,122.28779486429694,19.789187001849484,35.52626847725224
-1.006233333333333,-167.843,124.99999999999996,124.27561200196278,19.668179629146262,35.519260899390105
-1.006233333333333,-167.843,126.99999999999996,126.26340989149202,19.55797578550368,35.51382365122724
-1.006233333333333,-167.843,129.0,128.25118853407295,19.45521990830449,35.5099517425703
-1.006233333333333,-167.843,130.99999999999997,130.23894793089377,19.3572150721106,35.50749428657911
-1.006233333333333,-167.843,132.99999999999997,132.22668808314273,19.261187319349336,35.50621258263352
-1.006233333333333,-167.843,135.0,134.214408992008,19.164221127578063,35.50555855226044
-1.006233333333333,-167.843,137.0,136.20211065867753,19.06367780273745,35.50505583182003
-1.006233333333333,-167.843,139.00000000000003,138.1897930843394,18.95729283145372,35.50433881440507
-1.006233333333333,-167.843,141.0,140.1774562701814,18.84317111362715,35.50295326495049
-1.006233333333333,-167.843,142.99999999999997,142.1651002173915,18.7198058152864,35.50046295821575
-1.006233333333333,-167.843,145.00000000000003,144.1527249271575,18.58586257080919,35.496391574910795
-1.006233333333333,-167.843,146.99999999999997,146.14033040066698,18.4401266801741,35.490415323781654
-1.006233333333333,-167.843,149.0,148.12791663910772,18.28217154142606,35.482425414292294
-1.006233333333333,-167.843,150.99999999999997,150.1154836436672,18.11245338439646,35.472402018314504
-1.006233333333333,-167.843,152.99999999999997,152.10303141553302,17.931721778130793,35.460308084591304
-1.006233333333333,-167.843,155.0,154.0905599558926,17.741073759468055,35.446097713018
-1.006233333333333,-167.843,157.0,156.0780692659333,17.5419006528005,35.42983295299508
-1.006233333333333,-167.843,159.0,158.06555934684235,17.33545049915805,35.411640731275845
-1.006233333333333,-167.843,161.0,160.0530301998071,17.12289540660034,35.391678423713344
-1.006233333333333,-167.843,163.00000000000003,162.0404818260147,16.905550605422,35.37020380861465
-1.006233333333333,-167.843,164.99999999999997,164.02791422665223,16.684660744669145,35.34749926574888
