# Nova Canton Expedition Leg 2# Station: NC2_OM2_3400
# Latitude: -0.74545
# Longitude: -166.99391666666668
# Date Collected: 2024-03-22 00:00:00
# CTD Serial Number: 490
# name 0 = Latitude
# name 1 = Longitude
# name 2 = p: Pressure [db]
# name 3 = z: Depth [m]
# name 4 = tnc90C: Temperature [ITS-90 deg C]
# name 5 = SP:  Practical Salinity[PSU]
lat,lon,p,z,tnc90C,SP
-0.74545,-166.99391666666668,50.99999999999999,50.71358586772543,25.82088513037006,35.56524192364733
-0.74545,-166.99391666666668,53.000000000000014,52.702098190844914,25.655062271777407,35.572462305385926
-0.74545,-166.99391666666668,55.00000000000001,54.690591222987976,25.48701992269796,35.579638949613994
-0.74545,-166.99391666666668,57.000000000000014,56.67906496534543,25.312074664486044,35.58693700096899
-0.74545,-166.99391666666668,59.00000000000001,58.66751941910797,25.12685906063844,35.594360227281854
-0.74545,-166.99391666666668,61.0,60.6559545854662,24.92907617860864,35.60169197398112
-0.74545,-166.99391666666668,63.0,62.64437046561072,24.71698300882501,35.608680705021
-0.74545,-166.99391666666668,65.0,64.63276706073204,24.48961147735588,35.6149906671583
-0.74545,-166.99391666666668,67.0,66.62114437202052,24.246322771550386,35.62018067722469
-0.74545,-166.99391666666668,69.0,68.60950240066661,23.987228206655885,35.623798906333285
-0.74545,-166.99391666666668,71.0,70.59784114786054,23.71354570792548,35.62555674062105
-0.74545,-166.99391666666668,73.00000000000001,72.58616061479255,23.427195752990308,35.62514402055441
-0.74545,-166.99391666666668,75.0,74.57446080265282,23.130644067710637,35.62228836915288
-0.74545,-166.99391666666668,76.99999999999997,76.56274171263142,22.826781574365256,35.61690198504003
-0.74545,-166.99391666666668,78.99999999999999,78.55100334591839,22.518814108646385,35.60901561855472
-0.74545,-166.99391666666668,80.99999999999999,80.53924570370368,22.209976123669485,35.59877189571961
-0.74545,-166.99391666666668,82.99999999999999,82.52746878717718,21.90293630196437,35.58654865663383
-0.74545,-166.99391666666668,85.00000000000001,84.5156725975287,21.599842684592986,35.57273092426883
-0.74545,-166.99391666666668,87.0,86.503857135948,21.302369800939083,35.55764487317218
-0.74545,-166.99391666666668,89.0,88.49202240362474,21.01170346835766,35.5416987558103
-0.74545,-166.99391666666668,91.0,90.48016840174856,20.7286822286058,35.5253394850211
-0.74545,-166.99391666666668,92.99999999999996,92.46829513150904,20.453639688318304,35.509018761002764
-0.74545,-166.99391666666668,95.0,94.4564025940956,20.1864839121004,35.49314546695324
-0.74545,-166.99391666666668,97.00000000000004,96.44449079069769,19.92666020531234,35.47806922497607
-0.74545,-166.99391666666668,99.0,98.43255972250462,19.67338259311831,35.46398429259222
-0.74545,-166.99391666666668,101.0,100.42060939070568,19.42576170978693,35.45090951528922
-0.74545,-166.99391666666668,103.0,102.40863979649012,19.183067570413503,35.438993681979035
-0.74545,-166.99391666666668,105.0,104.396650941047,18.94536989641695,35.428409846448695
-0.74545,-166.99391666666668,107.0,106.3846428255655,18.71341145375064,35.41900718271291
-0.74545,-166.99391666666668,109.00000000000004,108.37261545123457,18.48769317371127,35.41031451199015
-0.74545,-166.99391666666668,111.00000000000004,110.3605688192431,18.2681790589152,35.401957943441154
-0.74545,-166.99391666666668,113.0,112.34850293078004,18.054883454486387,35.39372236261615
-0.74545,-166.99391666666668,114.99999999999996,114.3364177870341,17.84798155044481,35.385341038573216
-0.74545,-166.99391666666668,117.0,116.32431338919416,17.647571735391722,35.37660596519174
-0.74545,-166.99391666666668,118.99999999999996,118.3121897384487,17.454030697957172,35.3674831049709
-0.74545,-166.99391666666668,121.0,120.30004683598648,17.267449245054408,35.357973675849905
-0.74545,-166.99391666666668,122.99999999999996,122.28788468299597,17.08686079971536,35.34797130409146
-0.74545,-166.99391666666668,125.0,124.27570328066558,16.91069225973719,35.33747399718347
-0.74545,-166.99391666666668,127.0,126.2635026301838,16.736882410296065,35.326460623934906
-0.74545,-166.99391666666668,129.0,128.2512827327389,16.563209359604688,35.31477646561007
-0.74545,-166.99391666666668,130.99999999999994,130.23904358951913,16.387969946045807,35.30228486572808
-0.74545,-166.99391666666668,132.99999999999997,132.22678520171274,16.210159016613854,35.288911071861534
-0.74545,-166.99391666666668,135.00000000000003,134.21450757050778,16.029641743014736,35.2744944665554
-0.74545,-166.99391666666668,137.0,136.20221069709234,15.846968951724572,35.25899501492071
-0.74545,-166.99391666666668,139.00000000000003,138.18989458265443,15.663269335946342,35.2425694598795
-0.74545,-166.99391666666668,141.0,140.1775592283819,15.480025269215568,35.225371615021274
-0.74545,-166.99391666666668,142.99999999999997,142.1652046354627,15.298603157690463,35.20755648881693
-0.74545,-166.99391666666668,145.0,144.15283080508453,15.120419255914006,35.189332962718524
-0.74545,-166.99391666666668,147.0,146.14043773843514,14.946891366077836,35.170948124401995
-0.74545,-166.99391666666668,149.0,148.1280254367022,14.779341547706364,35.152694367818164
-0.74545,-166.99391666666668,151.0,150.11559390107325,14.61882513376759,35.13484638895503
-0.74545,-166.99391666666668,152.99999999999997,152.1031431327358,14.466102390824664,35.11770566945151
-0.74545,-166.99391666666668,155.0,154.09067313287733,14.322167395898065,35.10136962431912
-0.74545,-166.99391666666668,157.00000000000003,156.0781839026852,14.187666882498055,35.08578929971942
-0.74545,-166.99391666666668,159.0,158.0656754433467,14.062473857192163,35.07108777873916
-0.74545,-166.99391666666668,161.0,160.05314775604907,13.946214096517815,35.05739801838748
-0.74545,-166.99391666666668,163.0,162.0406008419795,13.838469016912592,35.04477587536976
